date_time,Dry Bulb Temperature [°C],Relative Humidity [%],Wind Speed [m/s],Wind Direction [Deg],Global Horizontal Radiation [W/m2],Direct Normal Radiation [W/m2],Diffuse Horizontal Radiation [W/m2]
2001-01-01 01:00:00,-9.2,86,3.6,310,0,0,0
2001-01-01 02:00:00,-9.2,86,3.6,320,0,0,0
2001-01-01 03:00:00,-9.2,86,3.6,320,0,0,0
2001-01-01 04:00:00,-9.3,86,3.6,320,0,0,0
2001-01-01 05:00:00,-10.8,84,3.6,320,0,0,0
2001-01-01 06:00:00,-10.0,84,3.6,320,0,0,0
2001-01-01 07:00:00,-11.0,91,3.6,320,0,0,0
2001-01-01 08:00:00,-11.0,91,4.1,320,0,0,0
2001-01-01 09:00:00,-11.0,91,4.1,320,116,224,85
2001-01-01 10:00:00,-9.0,84,4.1,330,127,89,105
2001-01-01 11:00:00,-9.0,92,3.6,360,181,98,147
2001-01-01 12:00:00,-7.0,84,2.6,360,129,0,129
2001-01-01 13:00:00,-6.0,77,2.6,330,112,0,112
2001-01-01 14:00:00,-6.0,84,2.1,330,107,0,107
2001-01-01 15:00:00,-6.0,77,2.1,330,172,310,95
2001-01-01 16:00:00,-6.0,77,2.1,310,70,219,42
2001-01-01 17:00:00,-7.0,84,1.5,300,0,0,0
2001-01-01 18:00:00,-9.0,77,2.6,250,0,0,0
2001-01-01 19:00:00,-9.6,84,3.6,250,0,0,0
2001-01-01 20:00:00,-10.0,91,3.6,260,0,0,0
2001-01-01 21:00:00,-12.0,100,4.1,270,0,0,0
2001-01-01 22:00:00,-12.3,99,4.2,270,0,0,0
2001-01-01 23:00:00,-12.7,98,4.4,270,0,0,0
2001-01-02 00:00:00,-13.6,90,4.5,270,0,0,0
2001-01-02 01:00:00,-13.7,90,4.6,270,0,0,0
2001-01-02 02:00:00,-14.0,92,4.7,260,0,0,0
2001-01-02 03:00:00,-14.1,90,4.9,260,0,0,0
2001-01-02 04:00:00,-14.0,93,5.0,260,0,0,0
