date_time,Dry Bulb Temperature [°C],Relative Humidity [%],Wind Speed [m/s],Wind Direction [Deg],Global Horizontal Radiation [W/m2],Direct Normal Radiation [W/m2],Diffuse Horizontal Radiation [W/m2]
1988-01-01 01:00:00,-15.6,76,8.8,260,0,0,0
1988-01-01 02:00:00,-16.1,76,7.7,280,0,0,0
1988-01-01 03:00:00,-16.7,79,5.7,260,0,0,0
1988-01-01 04:00:00,-17.2,79,6.7,260,0,0,0
1988-01-01 05:00:00,-17.8,79,6.7,260,0,0,0
1988-01-01 06:00:00,-18.3,83,7.2,270,0,0,0
1988-01-01 07:00:00,-18.9,79,6.7,270,0,0,0
1988-01-01 08:00:00,-19.4,79,6.7,250,16,26,14
1988-01-01 09:00:00,-18.9,75,6.2,260,101,316,52
1988-01-01 10:00:00,-17.8,69,8.8,260,226,537,77
1988-01-01 11:00:00,-16.7,69,7.2,260,328,644,95
1988-01-01 12:00:00,-16.1,63,8.2,260,380,686,103
1988-01-01 13:00:00,-15.0,60,10.8,260,375,682,102
1988-01-01 14:00:00,-14.4,60,8.8,240,312,629,92
1988-01-01 15:00:00,-13.9,60,7.2,260,205,507,73
1988-01-01 16:00:00,-14.4,66,8.8,230,79,253,45
1988-01-01 17:00:00,-15.6,69,6.7,240,9,10,8
1988-01-01 18:00:00,-15.6,69,6.7,240,0,0,0
1988-01-01 19:00:00,-15.6,69,7.2,230,0,0,0
1988-01-01 20:00:00,-15.6,69,6.2,240,0,0,0
1988-01-01 21:00:00,-15.6,69,6.2,240,0,0,0
1988-01-01 22:00:00,-15.6,69,7.2,240,0,0,0
1988-01-01 23:00:00,-15.0,69,7.7,250,0,0,0
1988-01-02 00:00:00,-15.0,73,5.7,240,0,0,0
1988-01-02 01:00:00,-15.0,73,4.1,250,0,0,0
1988-01-02 02:00:00,-15.6,76,4.6,250,0,0,0
1988-01-02 03:00:00,-16.1,79,3.6,240,0,0,0
1988-01-02 04:00:00,-16.7,79,3.1,220,0,0,0
1988-01-02 05:00:00,-16.7,83,3.6,220,0,0,0
1988-01-02 06:00:00,-17.2,87,2.6,210,0,0,0
1988-01-02 07:00:00,-16.7,87,3.1,200,0,0,0
1988-01-02 08:00:00,-16.7,87,3.6,210,28,194,10
1988-01-02 09:00:00,-15.0,76,5.7,210,127,642,26
1988-01-02 10:00:00,-12.2,77,5.7,220,262,808,37
1988-01-02 11:00:00,-10.6,77,5.7,210,365,881,46
1988-01-02 12:00:00,-8.3,71,7.2,200,417,909,50
1988-01-02 13:00:00,-7.2,65,7.7,210,412,906,49
1988-01-02 14:00:00,-6.7,62,7.7,220,351,873,44
1988-01-02 15:00:00,-6.1,65,8.2,220,240,785,36
