date_time,Dry Bulb Temperature [°C],Relative Humidity [%],Wind Speed [m/s],Wind Direction [Deg],Global Horizontal Radiation [W/m2],Direct Normal Radiation [W/m2],Diffuse Horizontal Radiation [W/m2]
2000-01-01 01:00:00,1.0,56,7.7,200,0,0,0
2000-01-01 02:00:00,2.0,62,9.3,220,0,0,0
2000-01-01 03:00:00,3.0,63,8.2,230,0,0,0
2000-01-01 04:00:00,3.0,63,6.7,240,0,0,0
2000-01-01 05:00:00,2.0,67,6.7,240,0,0,0
2000-01-01 06:00:00,2.0,67,6.2,240,0,0,0
2000-01-01 07:00:00,1.0,72,5.1,250,0,0,0
2000-01-01 08:00:00,1.0,72,4.1,250,0,0,0
2000-01-01 09:00:00,0.0,72,3.6,280,0,40,0
2000-01-01 10:00:00,-1.0,78,3.1,310,94,215,64
2000-01-01 11:00:00,0.0,72,5.1,340,190,373,95
2000-01-01 12:00:00,1.0,67,6.2,360,264,435,118
2000-01-01 13:00:00,1.0,67,4.6,360,288,380,146
2000-01-01 14:00:00,1.0,67,4.6,360,223,167,162
2000-01-01 15:00:00,0.0,72,4.1,360,258,429,120
2000-01-01 16:00:00,1.0,67,4.1,40,82,11,79
2000-01-01 17:00:00,1.0,61,4.1,50,43,66,35
2000-01-01 18:00:00,0.0,72,2.6,30,0,0,0
2000-01-01 19:00:00,-1.0,78,3.1,30,0,0,0
2000-01-01 20:00:00,-1.0,78,4.6,30,0,0,0
2000-01-01 21:00:00,-1.0,78,3.6,50,0,0,0
2000-01-01 22:00:00,0.0,85,2.1,50,0,0,0
2000-01-01 23:00:00,2.0,80,2.6,60,0,0,0
2000-01-02 00:00:00,2.0,80,3.1,80,0,0,0
2000-01-02 01:00:00,2.0,80,4.1,60,0,0,0
2000-01-02 02:00:00,2.0,80,3.6,80,0,0,0
2000-01-02 03:00:00,2.0,87,4.6,90,0,0,0
2000-01-02 04:00:00,2.0,93,3.6,70,0,0,0
2000-01-02 05:00:00,2.0,93,3.1,80,0,0,0
2000-01-02 06:00:00,2.0,93,3.1,80,0,0,0
2000-01-02 07:00:00,2.0,93,2.1,50,0,0,0
2000-01-02 08:00:00,2.0,93,4.6,70,0,0,0
2000-01-02 09:00:00,2.0,100,3.1,60,0,48,0
2000-01-02 10:00:00,3.0,93,3.1,90,123,258,87
2000-01-02 11:00:00,3.0,93,3.1,30,42,0,42
2000-01-02 12:00:00,2.0,100,3.1,320,52,0,52
2000-01-02 13:00:00,1.0,93,5.1,340,61,0,61
2000-01-02 14:00:00,1.0,93,10.3,360,59,0,59
2000-01-02 15:00:00,0.0,92,9.8,360,50,0,50
2000-01-02 16:00:00,0.0,92,9.8,360,57,0,57
2000-01-02 17:00:00,0.0,85,7.7,350,12,0,12
2000-01-02 18:00:00,0.0,92,6.2,350,0,0,0
2000-01-02 19:00:00,0.0,85,6.7,350,0,0,0
2000-01-02 20:00:00,0.0,85,6.7,350,0,0,0
2000-01-02 21:00:00,0.0,78,7.2,350,0,0,0
2000-01-02 22:00:00,-1.0,85,7.7,10,0,0,0
2000-01-02 23:00:00,-1.0,78,9.3,360,0,0,0
2000-01-03 00:00:00,-2.0,85,8.2,360,0,0,0
2000-01-03 01:00:00,-1.0,78,7.2,10,0,0,0
2000-01-03 02:00:00,-1.0,78,8.2,10,0,0,0
2000-01-03 03:00:00,-2.0,78,8.2,20,0,0,0
2000-01-03 04:00:00,-2.0,71,5.7,30,0,0,0
2000-01-03 05:00:00,-2.3,73,5.7,30,0,0,0
2000-01-03 06:00:00,-2.6,74,5.7,40,0,0,0
2000-01-03 07:00:00,-3.0,77,5.7,40,0,0,0
2000-01-03 08:00:00,-3.0,84,7.2,40,0,0,0
2000-01-03 09:00:00,-2.0,85,5.7,30,0,33,0
2000-01-03 10:00:00,-1.0,78,7.7,50,104,179,79
2000-01-03 11:00:00,-1.0,78,8.7,50,127,76,107
2000-01-03 12:00:00,-1.0,78,8.7,50,148,18,142
2000-01-03 13:00:00,-1.0,78,7.7,60,141,6,139
2000-01-03 14:00:00,-1.0,78,6.7,60,77,0,77
2000-01-03 15:00:00,-1.0,78,7.2,60,90,0,90
2000-01-03 16:00:00,-1.0,78,4.6,50,82,6,81
2000-01-03 17:00:00,-1.0,78,6.7,70,12,0,12
2000-01-03 18:00:00,-1.0,85,5.7,60,0,0,0
2000-01-03 19:00:00,-1.5,89,6.7,50,0,0,0
2000-01-03 20:00:00,-1.9,91,7.7,40,0,0,0
2000-01-03 21:00:00,-2.0,92,6.2,50,0,0,0
2000-01-03 22:00:00,-2.0,92,6.2,50,0,0,0
2000-01-03 23:00:00,-2.7,89,6.7,20,0,0,0
2000-01-04 00:00:00,-3.1,88,9.3,10,0,0,0
2000-01-04 01:00:00,-3.3,86,10.3,10,0,0,0
2000-01-04 02:00:00,-4.0,84,12.3,10,0,0,0
2000-01-04 03:00:00,-3.3,81,11.3,360,0,0,0
2000-01-04 04:00:00,-3.0,77,9.8,360,0,0,0
2000-01-04 05:00:00,-3.0,82,7.7,340,0,0,0
2000-01-04 06:00:00,-3.0,84,8.2,350,0,0,0
2000-01-04 07:00:00,-2.9,81,10.8,340,0,0,0
2000-01-04 08:00:00,-2.7,77,13.4,340,0,0,0
2000-01-04 09:00:00,-2.0,71,10.3,330,0,16,0
2000-01-04 10:00:00,-2.0,65,10.8,340,85,86,73
2000-01-04 11:00:00,-3.0,65,10.3,340,49,0,49
2000-01-04 12:00:00,-3.0,65,8.7,330,84,0,84
2000-01-04 13:00:00,-4.0,65,9.8,340,98,0,98
2000-01-04 14:00:00,-4.0,65,7.7,320,94,0,94
2000-01-04 15:00:00,-5.0,65,6.7,320,79,0,79
2000-01-04 16:00:00,-5.0,65,6.7,320,36,0,36
2000-01-04 17:00:00,-5.4,62,7.5,330,40,31,36
2000-01-04 18:00:00,-6.0,59,8.2,330,0,0,0
2000-01-04 19:00:00,-7.0,59,5.7,330,0,0,0
2000-01-04 20:00:00,-7.0,59,5.1,330,0,0,0
2000-01-04 21:00:00,-7.0,59,5.7,340,0,0,0
2000-01-04 22:00:00,-7.0,59,5.7,350,0,0,0
2000-01-04 23:00:00,-8.0,64,6.7,350,0,0,0
2000-01-05 00:00:00,-9.0,70,3.1,320,0,0,0
2000-01-05 01:00:00,-9.0,64,3.6,320,0,0,0
2000-01-05 02:00:00,-9.0,64,3.1,310,0,0,0
2000-01-05 03:00:00,-11.0,76,3.1,300,0,0,0
2000-01-05 04:00:00,-11.0,76,2.1,300,0,0,0
2000-01-05 05:00:00,-15.0,76,2.1,230,0,0,0
2000-01-05 06:00:00,-14.0,83,1.5,240,0,0,0
2000-01-05 07:00:00,-14.0,83,1.5,210,0,0,0
2000-01-05 08:00:00,-15.0,91,1.5,210,0,0,0
2000-01-05 09:00:00,-17.0,91,1.5,190,0,23,0
2000-01-05 10:00:00,-13.0,91,2.6,180,85,122,68
2000-01-05 11:00:00,-10.0,76,2.6,180,106,13,102
2000-01-05 12:00:00,-7.0,59,4.1,180,168,61,147
2000-01-05 13:00:00,-6.0,59,5.7,200,135,6,133
2000-01-05 14:00:00,-6.0,59,6.7,200,365,609,136
2000-01-05 15:00:00,-5.0,59,4.6,190,281,471,126
2000-01-05 16:00:00,-4.0,65,6.7,200,88,29,81
2000-01-05 17:00:00,-4.0,71,6.2,180,68,165,49
2000-01-05 18:00:00,-3.7,77,7.7,180,0,0,0
2000-01-05 19:00:00,-3.4,85,9.3,180,0,0,0
2000-01-05 20:00:00,-3.0,92,10.8,180,0,0,0
2000-01-05 21:00:00,-2.0,92,9.8,190,0,0,0
2000-01-05 22:00:00,-1.0,78,10.3,200,0,0,0
2000-01-05 23:00:00,-1.0,78,10.8,200,0,0,0
2000-01-06 00:00:00,-1.0,71,8.7,190,0,0,0
2000-01-06 01:00:00,-2.0,60,9.3,200,0,0,0
2000-01-06 02:00:00,-3.0,65,8.7,190,0,0,0
2000-01-06 03:00:00,-4.0,77,6.2,190,0,0,0
2000-01-06 04:00:00,-3.0,71,6.7,200,0,0,0
2000-01-06 05:00:00,-3.0,71,7.7,210,0,0,0
2000-01-06 06:00:00,-2.0,71,7.7,220,0,0,0
2000-01-06 07:00:00,-2.0,71,8.7,210,0,0,0
2000-01-06 08:00:00,-2.0,71,9.3,210,0,0,0
2000-01-06 09:00:00,-3.0,77,7.2,210,0,32,0
2000-01-06 10:00:00,-2.0,71,7.7,220,103,172,79
2000-01-06 11:00:00,-2.0,78,7.2,230,42,0,42
2000-01-06 12:00:00,-1.0,78,8.2,230,71,0,71
2000-01-06 13:00:00,0.0,66,9.8,230,117,0,117
2000-01-06 14:00:00,-0.2,63,9.8,240,200,84,169
2000-01-06 15:00:00,0.0,60,9.8,250,191,106,156
2000-01-06 16:00:00,0.0,55,7.7,240,129,143,95
2000-01-06 17:00:00,-1.0,55,7.2,240,85,258,54
2000-01-06 18:00:00,-2.0,55,6.7,250,0,0,0
2000-01-06 19:00:00,-3.0,60,6.2,260,0,0,0
2000-01-06 20:00:00,-3.0,60,6.7,270,0,0,0
2000-01-06 21:00:00,-5.0,59,7.7,270,0,0,0
2000-01-06 22:00:00,-6.0,59,8.7,270,0,0,0
2000-01-06 23:00:00,-7.0,59,8.2,270,0,0,0
2000-01-07 00:00:00,-7.0,59,7.2,270,0,0,0
2000-01-07 01:00:00,-7.3,61,6.7,270,0,0,0
2000-01-07 02:00:00,-8.0,64,6.2,270,0,0,0
2000-01-07 03:00:00,-8.0,70,6.2,280,0,0,0
2000-01-07 04:00:00,-9.0,70,7.7,300,0,0,0
2000-01-07 05:00:00,-9.0,70,4.1,280,0,0,0
2000-01-07 06:00:00,-10.0,70,4.1,280,0,0,0
2000-01-07 07:00:00,-11.0,76,4.1,270,0,0,0
2000-01-07 08:00:00,-12.0,76,3.1,250,0,0,0
2000-01-07 09:00:00,-12.0,83,5.7,270,0,86,0
2000-01-07 10:00:00,-12.0,83,4.1,260,122,450,58
2000-01-07 11:00:00,-11.0,76,5.1,280,239,695,59
2000-01-07 12:00:00,-10.0,70,3.6,280,329,723,81
2000-01-07 13:00:00,-10.0,70,5.7,260,337,610,104
2000-01-07 14:00:00,-10.0,64,5.7,250,330,621,94
2000-01-07 15:00:00,-9.0,53,5.1,250,281,577,89
2000-01-07 16:00:00,-9.0,53,5.7,250,223,653,63
2000-01-07 17:00:00,-9.0,48,5.1,230,86,446,31
2000-01-07 18:00:00,-10.0,58,3.6,240,0,0,0
2000-01-07 19:00:00,-10.0,58,4.1,210,0,0,0
2000-01-07 20:00:00,-10.0,64,3.6,210,0,0,0
2000-01-07 21:00:00,-11.0,70,3.6,190,0,0,0
2000-01-07 22:00:00,-9.0,64,3.6,190,0,0,0
2000-01-07 23:00:00,-8.0,58,5.7,200,0,0,0
2000-01-08 00:00:00,-7.0,54,7.2,190,0,0,0
2000-01-08 01:00:00,-6.0,54,5.7,190,0,0,0
2000-01-08 02:00:00,-4.0,54,7.7,190,0,0,0
2000-01-08 03:00:00,-5.0,59,6.7,210,0,0,0
2000-01-08 04:00:00,-5.0,65,6.2,220,0,0,0
2000-01-08 05:00:00,-4.0,65,6.7,230,0,0,0
2000-01-08 06:00:00,-3.0,71,7.7,240,0,0,0
2000-01-08 07:00:00,-2.0,65,8.2,240,0,0,0
2000-01-08 08:00:00,-1.0,60,8.7,230,0,0,0
2000-01-08 09:00:00,0.0,60,8.2,240,0,85,0
2000-01-08 10:00:00,1.0,56,7.2,250,122,442,59
2000-01-08 11:00:00,1.0,56,8.2,250,239,689,60
2000-01-08 12:00:00,1.0,56,5.1,220,329,778,61
2000-01-08 13:00:00,2.0,57,7.2,240,374,809,63
2000-01-08 14:00:00,2.0,57,6.7,230,372,812,61
2000-01-08 15:00:00,3.0,58,6.7,230,315,772,56
2000-01-08 16:00:00,3.0,58,5.7,230,213,671,47
2000-01-08 17:00:00,2.0,62,5.1,220,86,432,32
2000-01-08 18:00:00,1.0,67,5.1,210,0,0,0
2000-01-08 19:00:00,1.0,67,4.6,220,0,0,0
2000-01-08 20:00:00,1.0,67,4.6,220,0,0,0
2000-01-08 21:00:00,1.0,67,3.6,230,0,0,0
2000-01-08 22:00:00,1.0,67,6.2,250,0,0,0
2000-01-08 23:00:00,1.0,67,3.6,250,0,0,0
2000-01-09 00:00:00,-1.0,71,3.6,230,0,0,0
2000-01-09 01:00:00,-1.1,75,3.3,240,0,0,0
2000-01-09 02:00:00,-1.7,80,2.9,260,0,0,0
2000-01-09 03:00:00,-2.0,85,2.6,270,0,0,0
2000-01-09 04:00:00,-3.0,92,3.1,270,0,0,0
2000-01-09 05:00:00,-5.0,92,0.0,0,0,0,0
2000-01-09 06:00:00,-5.0,92,1.5,270,0,0,0
2000-01-09 07:00:00,-7.0,84,0.0,0,0,0,0
2000-01-09 08:00:00,-7.0,92,0.0,0,0,0,0
2000-01-09 09:00:00,-5.2,95,0.0,0,1,72,0
2000-01-09 10:00:00,-3.3,99,0.0,0,112,370,59
2000-01-09 11:00:00,-1.0,100,0.0,0,225,587,71
2000-01-09 12:00:00,1.0,93,3.1,170,258,318,148
2000-01-09 13:00:00,2.0,80,3.6,180,178,48,159
2000-01-09 14:00:00,2.0,80,3.1,190,83,0,83
2000-01-09 15:00:00,1.0,86,2.6,160,107,0,107
2000-01-09 16:00:00,2.0,80,2.1,160,104,40,94
2000-01-09 17:00:00,2.0,80,0.0,0,66,146,48
2000-01-09 18:00:00,0.0,85,0.0,0,0,0,0
2000-01-09 19:00:00,1.0,79,0.0,0,0,0,0
2000-01-09 20:00:00,1.0,93,2.6,110,0,0,0
2000-01-09 21:00:00,3.0,93,5.1,140,0,0,0
2000-01-09 22:00:00,3.0,93,5.7,140,0,0,0
2000-01-09 23:00:00,3.0,93,5.1,150,0,0,0
2000-01-10 00:00:00,3.0,93,6.7,150,0,0,0
2000-01-10 01:00:00,3.0,93,6.7,150,0,0,0
2000-01-10 02:00:00,3.0,93,5.1,160,0,0,0
2000-01-10 03:00:00,3.0,93,5.7,150,0,0,0
2000-01-10 04:00:00,3.0,93,6.2,150,0,0,0
2000-01-10 05:00:00,3.0,93,6.2,150,0,0,0
2000-01-10 06:00:00,3.0,93,5.1,150,0,0,0
2000-01-10 07:00:00,3.0,93,4.1,140,0,0,0
2000-01-10 08:00:00,2.5,94,3.9,150,0,0,0
2000-01-10 09:00:00,2.7,94,3.8,170,1,31,0
2000-01-10 10:00:00,3.0,93,3.6,180,93,157,71
2000-01-10 11:00:00,3.0,93,3.6,200,98,0,98
2000-01-10 12:00:00,3.0,93,3.6,250,122,0,122
2000-01-10 13:00:00,3.0,93,6.2,250,74,0,74
2000-01-10 14:00:00,2.3,93,6.5,260,65,0,65
2000-01-10 15:00:00,2.0,93,6.7,260,51,0,51
2000-01-10 16:00:00,2.0,93,7.2,250,37,0,37
2000-01-10 17:00:00,2.0,80,7.2,250,88,236,57
2000-01-10 18:00:00,2.0,80,8.2,250,0,0,0
2000-01-10 19:00:00,2.0,80,8.7,250,0,0,0
2000-01-10 20:00:00,2.0,80,8.2,240,0,0,0
2000-01-10 21:00:00,2.0,73,8.7,250,0,0,0
2000-01-10 22:00:00,2.0,73,6.2,250,0,0,0
2000-01-10 23:00:00,2.0,73,6.2,250,0,0,0
2000-01-11 00:00:00,1.0,79,5.7,240,0,0,0
2000-01-11 01:00:00,2.0,73,6.7,250,0,0,0
2000-01-11 02:00:00,1.0,79,5.1,250,0,0,0
2000-01-11 03:00:00,1.0,79,6.2,250,0,0,0
2000-01-11 04:00:00,1.0,86,5.7,250,0,0,0
2000-01-11 05:00:00,1.0,86,6.2,260,0,0,0
2000-01-11 06:00:00,1.0,86,5.7,280,0,0,0
2000-01-11 07:00:00,1.0,86,7.2,290,0,0,0
2000-01-11 08:00:00,0.0,92,5.1,290,0,0,0
2000-01-11 09:00:00,1.0,79,7.2,310,0,6,0
2000-01-11 10:00:00,1.0,67,5.1,310,65,28,61
2000-01-11 11:00:00,0.0,72,8.2,300,56,0,56
2000-01-11 12:00:00,0.0,66,8.2,300,64,0,64
2000-01-11 13:00:00,0.0,60,6.2,300,92,0,92
2000-01-11 14:00:00,-1.0,66,7.2,280,65,0,65
2000-01-11 15:00:00,-1.0,55,9.8,280,198,153,145
2000-01-11 16:00:00,-3.0,60,8.7,270,225,506,95
2000-01-11 17:00:00,-3.0,46,8.7,290,97,484,32
2000-01-11 18:00:00,-4.0,50,7.7,290,0,0,0
2000-01-11 19:00:00,-6.0,64,8.2,260,0,0,0
2000-01-11 20:00:00,-7.0,64,7.2,270,0,0,0
2000-01-11 21:00:00,-7.0,64,4.6,280,0,0,0
2000-01-11 22:00:00,-7.0,64,3.6,290,0,0,0
2000-01-11 23:00:00,-8.0,64,5.1,310,0,0,0
2000-01-12 00:00:00,-9.0,64,5.1,320,0,0,0
2000-01-12 01:00:00,-9.3,61,4.9,310,0,0,0
2000-01-12 02:00:00,-10.0,58,4.6,300,0,0,0
2000-01-12 03:00:00,-10.0,64,3.6,320,0,0,0
2000-01-12 04:00:00,-10.0,58,4.1,300,0,0,0
2000-01-12 05:00:00,-11.0,58,5.1,310,0,0,0
2000-01-12 06:00:00,-11.0,58,3.1,310,0,0,0
