date_time,Dry Bulb Temperature [°C],Relative Humidity [%],Wind Speed [m/s],Wind Direction [Deg],Global Horizontal Radiation [W/m2],Direct Normal Radiation [W/m2],Diffuse Horizontal Radiation [W/m2]
1996-01-01 01:00:00,0.0,95,1.5,40,0,0,0
1996-01-01 02:00:00,0.5,87,1.5,60,0,0,0
1996-01-01 03:00:00,0.5,87,0.0,0,0,0,0
1996-01-01 04:00:00,0.5,87,1.5,80,0,0,0
1996-01-01 05:00:00,0.5,87,1.5,70,0,0,0
1996-01-01 06:00:00,0.5,84,0.0,0,0,0,0
1996-01-01 07:00:00,0.5,87,1.5,80,0,0,0
1996-01-01 08:00:00,0.5,92,0.0,0,10,16,9
1996-01-01 09:00:00,0.5,92,1.5,80,30,0,30
1996-01-01 10:00:00,1.1,88,3.0,60,62,0,62
1996-01-01 11:00:00,0.5,92,2.5,70,85,0,85
1996-01-01 12:00:00,0.5,87,2.0,50,96,0,96
1996-01-01 13:00:00,0.5,87,4.1,40,95,0,95
1996-01-01 14:00:00,0.0,87,4.1,50,81,0,81
1996-01-01 15:00:00,-0.6,83,4.6,10,56,0,56
1996-01-01 16:00:00,-2.3,87,5.1,10,24,0,24
1996-01-01 17:00:00,-2.3,87,4.6,10,0,0,0
1996-01-01 18:00:00,-1.7,83,4.1,20,0,0,0
1996-01-01 19:00:00,-3.4,83,5.1,10,0,0,0
1996-01-01 20:00:00,-3.9,82,6.1,10,0,0,0
1996-01-01 21:00:00,-4.5,79,5.1,10,0,0,0
1996-01-01 22:00:00,-4.5,79,4.6,360,0,0,0
1996-01-01 23:00:00,-5.6,75,5.6,10,0,0,0
1996-01-02 00:00:00,-7.3,75,5.6,10,0,0,0
1996-01-02 01:00:00,-7.3,75,5.6,10,0,0,0
1996-01-02 02:00:00,-7.8,71,5.6,10,0,0,0
1996-01-02 03:00:00,-8.9,78,5.6,360,0,0,0
1996-01-02 04:00:00,-8.9,78,5.6,10,0,0,0
1996-01-02 05:00:00,-9.5,74,8.2,360,0,0,0
1996-01-02 06:00:00,-9.5,78,6.1,360,0,0,0
1996-01-02 07:00:00,-10.3,78,6.1,360,0,0,0
1996-01-02 08:00:00,-10.6,78,6.1,360,3,0,3
1996-01-02 09:00:00,-9.5,82,5.6,360,36,0,36
1996-01-02 10:00:00,-9.5,82,5.6,360,74,0,74
1996-01-02 11:00:00,-8.4,82,5.1,360,101,0,101
1996-01-02 12:00:00,-8.4,78,6.1,360,96,0,96
1996-01-02 13:00:00,-8.4,78,6.6,10,113,0,113
1996-01-02 14:00:00,-8.4,75,6.6,10,97,0,97
1996-01-02 15:00:00,-8.4,75,7.2,10,67,0,67
1996-01-02 16:00:00,-8.9,67,6.6,10,29,0,29
1996-01-02 17:00:00,-8.9,64,6.6,360,1,0,1
1996-01-02 18:00:00,-8.9,64,6.6,10,0,0,0
1996-01-02 19:00:00,-8.9,71,5.6,10,0,0,0
1996-01-02 20:00:00,-8.9,74,6.1,360,0,0,0
1996-01-02 21:00:00,-10.0,70,6.6,360,0,0,0
1996-01-02 22:00:00,-10.0,67,7.2,360,0,0,0
1996-01-02 23:00:00,-11.2,67,6.6,360,0,0,0
1996-01-03 00:00:00,-11.7,70,7.2,350,0,0,0
1996-01-03 01:00:00,-12.8,73,5.6,360,0,0,0
1996-01-03 02:00:00,-13.4,77,5.6,350,0,0,0
1996-01-03 03:00:00,-12.8,82,6.1,340,0,0,0
1996-01-03 04:00:00,-12.3,78,5.6,350,0,0,0
1996-01-03 05:00:00,-11.7,82,5.1,350,0,0,0
1996-01-03 06:00:00,-11.7,78,5.1,340,0,0,0
1996-01-03 07:00:00,-11.7,78,3.0,360,0,0,0
1996-01-03 08:00:00,-11.2,78,3.0,340,3,0,3
1996-01-03 09:00:00,-11.2,82,3.0,340,32,0,32
1996-01-03 10:00:00,-10.0,74,3.0,330,67,0,67
1996-01-03 11:00:00,-9.5,74,3.0,330,95,0,95
1996-01-03 12:00:00,-7.8,71,2.5,330,109,0,109
1996-01-03 13:00:00,-7.3,64,2.5,320,108,0,108
1996-01-03 14:00:00,-7.8,67,3.0,320,91,0,91
1996-01-03 15:00:00,-7.8,64,3.6,310,62,0,62
1996-01-03 16:00:00,-8.4,64,2.5,320,26,0,26
1996-01-03 17:00:00,-9.5,70,2.5,310,1,0,1
1996-01-03 18:00:00,-9.5,70,1.5,310,0,0,0
1996-01-03 19:00:00,-10.0,78,2.0,10,0,0,0
1996-01-03 20:00:00,-8.9,71,2.0,290,0,0,0
1996-01-03 21:00:00,-10.0,78,2.0,290,0,0,0
1996-01-03 22:00:00,-8.9,74,1.5,280,0,0,0
1996-01-03 23:00:00,-8.4,71,2.0,300,0,0,0
1996-01-04 00:00:00,-8.9,86,2.0,40,0,0,0
1996-01-04 01:00:00,-8.9,86,2.0,350,0,0,0
1996-01-04 02:00:00,-8.9,78,2.5,300,0,0,0
1996-01-04 03:00:00,-10.0,78,2.5,300,0,0,0
1996-01-04 04:00:00,-12.3,96,0.0,0,0,0,0
1996-01-04 05:00:00,-10.6,78,3.0,300,0,0,0
1996-01-04 06:00:00,-11.7,82,2.0,320,0,0,0
1996-01-04 07:00:00,-13.4,82,2.0,330,0,0,0
1996-01-04 08:00:00,-12.8,82,2.0,290,4,7,4
1996-01-04 09:00:00,-12.3,78,3.0,320,67,129,48
1996-01-04 10:00:00,-10.0,74,4.1,340,94,1,94
1996-01-04 11:00:00,-9.5,70,4.6,350,112,1,112
1996-01-04 12:00:00,-8.9,64,5.6,360,229,150,170
1996-01-04 13:00:00,-7.8,61,6.6,360,149,55,128
1996-01-04 14:00:00,-8.4,64,5.1,360,282,190,218
1996-01-04 15:00:00,-8.4,55,4.6,10,128,175,84
1996-01-04 16:00:00,-9.5,61,3.0,10,66,154,47
1996-01-04 17:00:00,-11.7,70,2.0,340,2,26,2
1996-01-04 18:00:00,-12.8,73,3.0,350,0,0,0
1996-01-04 19:00:00,-12.3,74,3.6,350,0,0,0
1996-01-04 20:00:00,-13.4,70,3.0,360,0,0,0
1996-01-04 21:00:00,-15.0,73,3.0,340,0,0,0
1996-01-04 22:00:00,-15.6,62,2.5,340,0,0,0
1996-01-04 23:00:00,-15.6,66,2.5,320,0,0,0
1996-01-05 00:00:00,-16.2,70,2.0,320,0,0,0
1996-01-05 01:00:00,-17.3,66,2.0,310,0,0,0
1996-01-05 02:00:00,-16.7,73,4.1,300,0,0,0
1996-01-05 03:00:00,-16.7,69,3.6,290,0,0,0
1996-01-05 04:00:00,-16.7,65,4.1,310,0,0,0
1996-01-05 05:00:00,-16.7,73,5.6,300,0,0,0
1996-01-05 06:00:00,-17.3,73,4.6,310,0,0,0
1996-01-05 07:00:00,-18.4,76,3.0,310,0,0,0
1996-01-05 08:00:00,-17.8,81,2.5,290,6,18,5
1996-01-05 09:00:00,-16.2,70,3.6,290,66,96,52
1996-01-05 10:00:00,-14.5,69,3.0,320,135,234,73
1996-01-05 11:00:00,-12.3,60,3.0,290,142,73,116
1996-01-05 12:00:00,-12.3,63,3.0,300,275,19,267
1996-01-05 13:00:00,-12.3,63,3.6,330,169,26,159
1996-01-05 14:00:00,-11.7,60,4.1,340,111,0,111
1996-01-05 15:00:00,-11.7,60,2.0,330,75,0,75
1996-01-05 16:00:00,-12.0,60,1.9,330,17,0,17
1996-01-05 17:00:00,-13.0,61,1.8,320,1,0,1
1996-01-05 18:00:00,-13.6,62,1.8,320,0,0,0
1996-01-05 19:00:00,-13.9,63,1.7,320,0,0,0
1996-01-05 20:00:00,-14.4,63,1.6,310,0,0,0
1996-01-05 21:00:00,-15.0,62,1.5,310,0,0,0
1996-01-05 22:00:00,-17.3,81,0.0,0,0,0,0
1996-01-05 23:00:00,-17.3,90,0.0,0,0,0,0
1996-01-06 00:00:00,-17.8,55,2.0,290,0,0,0
1996-01-06 01:00:00,-16.7,95,2.5,320,0,0,0
1996-01-06 02:00:00,-15.6,85,4.1,340,0,0,0
1996-01-06 03:00:00,-15.0,69,3.6,350,0,0,0
1996-01-06 04:00:00,-15.0,77,4.6,350,0,0,0
1996-01-06 05:00:00,-15.6,81,4.6,350,0,0,0
1996-01-06 06:00:00,-16.2,81,4.1,340,0,0,0
1996-01-06 07:00:00,-16.7,77,4.1,340,0,0,0
1996-01-06 08:00:00,-16.7,81,4.6,350,6,24,5
1996-01-06 09:00:00,-16.7,85,4.6,360,89,270,50
1996-01-06 10:00:00,-14.5,77,3.6,10,207,519,70
1996-01-06 11:00:00,-11.7,66,4.6,360,262,479,95
1996-01-06 12:00:00,-10.6,60,4.1,360,369,664,110
1996-01-06 13:00:00,-10.6,57,3.6,350,313,536,105
1996-01-06 14:00:00,-10.6,57,3.6,360,267,432,119
1996-01-06 15:00:00,-11.2,60,3.6,360,193,454,78
1996-01-06 16:00:00,-12.8,66,4.6,350,73,157,52
1996-01-06 17:00:00,-13.4,70,4.1,350,3,15,2
1996-01-06 18:00:00,-13.4,70,4.6,350,0,0,0
1996-01-06 19:00:00,-13.4,70,4.6,360,0,0,0
1996-01-06 20:00:00,-13.4,70,5.1,360,0,0,0
1996-01-06 21:00:00,-13.4,70,4.1,360,0,0,0
1996-01-06 22:00:00,-13.9,73,4.6,350,0,0,0
1996-01-06 23:00:00,-12.8,66,5.1,360,0,0,0
1996-01-07 00:00:00,-13.4,70,5.6,360,0,0,0
1996-01-07 01:00:00,-13.9,70,6.1,360,0,0,0
1996-01-07 02:00:00,-15.6,73,6.1,350,0,0,0
1996-01-07 03:00:00,-16.2,73,5.6,350,0,0,0
1996-01-07 04:00:00,-17.3,77,4.6,350,0,0,0
1996-01-07 05:00:00,-17.3,86,5.6,350,0,0,0
1996-01-07 06:00:00,-17.3,81,5.1,340,0,0,0
1996-01-07 07:00:00,-17.3,86,4.6,340,0,0,0
1996-01-07 08:00:00,-17.3,77,4.1,340,5,22,5
1996-01-07 09:00:00,-16.2,81,5.1,340,92,276,51
1996-01-07 10:00:00,-15.0,77,5.6,340,191,429,77
1996-01-07 11:00:00,-12.8,70,5.6,340,299,651,71
1996-01-07 12:00:00,-11.7,70,5.6,340,128,75,98
1996-01-07 13:00:00,-11.2,71,4.6,330,163,70,135
1996-01-07 14:00:00,-10.6,67,5.1,330,110,0,110
1996-01-07 15:00:00,-10.0,67,5.1,330,178,53,164
1996-01-07 16:00:00,-10.6,63,4.6,320,59,183,35
1996-01-07 17:00:00,-11.7,66,4.6,310,3,24,3
1996-01-07 18:00:00,-11.7,66,4.1,300,0,0,0
1996-01-07 19:00:00,-12.8,70,3.0,300,0,0,0
1996-01-07 20:00:00,-12.8,73,4.6,290,0,0,0
1996-01-07 21:00:00,-12.8,66,3.6,300,0,0,0
1996-01-07 22:00:00,-13.9,70,3.6,290,0,0,0
1996-01-07 23:00:00,-14.5,74,4.6,280,0,0,0
1996-01-08 00:00:00,-15.0,81,2.5,230,0,0,0
1996-01-08 01:00:00,-14.5,69,4.1,260,0,0,0
1996-01-08 02:00:00,-15.0,69,4.1,260,0,0,0
1996-01-08 03:00:00,-15.0,73,4.1,250,0,0,0
1996-01-08 04:00:00,-14.5,66,4.6,260,0,0,0
1996-01-08 05:00:00,-14.5,60,3.6,250,0,0,0
1996-01-08 06:00:00,-13.9,66,3.0,220,0,0,0
1996-01-08 07:00:00,-13.4,63,4.1,230,0,0,0
1996-01-08 08:00:00,-10.6,49,6.1,250,3,0,3
1996-01-08 09:00:00,-9.5,47,5.1,250,38,0,38
1996-01-08 10:00:00,-7.8,52,5.1,250,212,545,67
1996-01-08 11:00:00,-7.3,53,9.2,250,125,55,105
1996-01-08 12:00:00,-7.3,56,8.7,240,130,53,110
1996-01-08 13:00:00,-7.3,56,7.2,260,207,29,195
1996-01-08 14:00:00,-6.7,55,6.1,260,268,541,80
1996-01-08 15:00:00,-7.3,61,6.1,250,153,430,42
1996-01-08 16:00:00,-7.3,61,3.6,250,101,487,35
1996-01-08 17:00:00,-6.7,64,4.1,250,6,94,3
1996-01-08 18:00:00,-6.2,62,5.1,270,0,0,0
1996-01-08 19:00:00,-6.2,62,4.6,270,0,0,0
1996-01-08 20:00:00,-6.2,64,4.6,250,0,0,0
1996-01-08 21:00:00,-6.2,62,4.6,260,0,0,0
1996-01-08 22:00:00,-6.2,64,4.1,250,0,0,0
1996-01-08 23:00:00,-5.6,65,4.6,270,0,0,0
1996-01-09 00:00:00,-5.6,61,3.6,280,0,0,0
1996-01-09 01:00:00,-6.2,68,3.0,260,0,0,0
1996-01-09 02:00:00,-5.6,68,1.5,260,0,0,0
1996-01-09 03:00:00,-6.2,83,3.0,250,0,0,0
1996-01-09 04:00:00,-5.6,86,3.6,250,0,0,0
1996-01-09 05:00:00,-5.0,82,3.6,260,0,0,0
1996-01-09 06:00:00,-4.5,79,2.5,280,0,0,0
1996-01-09 07:00:00,-4.5,75,6.6,320,0,0,0
1996-01-09 08:00:00,-5.0,74,5.6,330,5,1,5
1996-01-09 09:00:00,-4.5,83,6.6,360,95,315,48
1996-01-09 10:00:00,-3.9,82,7.2,350,223,606,61
1996-01-09 11:00:00,-2.8,79,7.7,350,98,0,98
1996-01-09 12:00:00,-2.8,75,7.7,350,113,0,113
1996-01-09 13:00:00,-2.3,62,8.7,340,110,45,92
1996-01-09 14:00:00,-2.8,59,5.1,340,315,583,111
1996-01-09 15:00:00,-3.4,59,5.1,360,133,41,122
1996-01-09 16:00:00,-4.5,62,5.1,340,67,20,64
1996-01-09 17:00:00,-5.6,65,3.6,340,5,14,5
1996-01-09 18:00:00,-6.7,61,4.6,350,0,0,0
1996-01-09 19:00:00,-6.7,61,5.6,350,0,0,0
1996-01-09 20:00:00,-7.8,61,6.6,350,0,0,0
1996-01-09 21:00:00,-8.9,64,6.6,350,0,0,0
1996-01-09 22:00:00,-10.0,67,5.6,350,0,0,0
1996-01-09 23:00:00,-10.6,67,5.6,340,0,0,0
1996-01-10 00:00:00,-11.2,71,4.6,330,0,0,0
1996-01-10 01:00:00,-11.2,71,4.6,320,0,0,0
1996-01-10 02:00:00,-11.2,71,4.6,320,0,0,0
1996-01-10 03:00:00,-11.2,71,4.1,330,0,0,0
1996-01-10 04:00:00,-11.7,74,3.6,330,0,0,0
1996-01-10 05:00:00,-12.3,78,3.6,330,0,0,0
1996-01-10 06:00:00,-12.8,73,3.0,330,0,0,0
1996-01-10 07:00:00,-12.3,70,3.6,330,0,0,0
1996-01-10 08:00:00,-12.3,74,3.6,340,2,0,2
