date_time,Dry Bulb Temperature [°C],Relative Humidity [%],Wind Speed [m/s],Wind Direction [Deg],Global Horizontal Radiation [W/m2],Direct Normal Radiation [W/m2],Diffuse Horizontal Radiation [W/m2]
1995-01-01 01:00:00,-9.5,58,2.0,310,0,0,0
1995-01-01 02:00:00,-10.0,57,0.0,0,0,0,0
1995-01-01 03:00:00,-10.6,63,0.0,0,0,0,0
1995-01-01 04:00:00,-11.2,63,3.0,290,0,0,0
1995-01-01 05:00:00,-11.2,63,0.0,0,0,0,0
1995-01-01 06:00:00,-11.7,66,2.5,290,0,0,0
1995-01-01 07:00:00,-12.3,67,3.6,290,0,0,0
1995-01-01 08:00:00,-12.8,66,5.1,330,1,0,1
1995-01-01 09:00:00,-12.8,66,2.5,290,80,178,59
1995-01-01 10:00:00,-12.3,67,4.1,300,108,7,106
1995-01-01 11:00:00,-11.2,67,4.1,330,99,37,87
1995-01-01 12:00:00,-10.6,57,5.1,290,221,69,196
1995-01-01 13:00:00,-10.6,52,5.1,300,124,66,99
1995-01-01 14:00:00,-11.2,60,4.1,300,91,0,91
1995-01-01 15:00:00,-10.6,49,5.1,330,88,64,73
1995-01-01 16:00:00,-11.2,52,3.6,280,28,0,28
1995-01-01 17:00:00,-12.3,60,4.6,290,2,0,2
1995-01-01 18:00:00,-12.3,51,3.0,270,0,0,0
1995-01-01 19:00:00,-12.8,59,2.5,280,0,0,0
1995-01-01 20:00:00,-13.4,67,4.6,290,0,0,0
1995-01-01 21:00:00,-13.4,63,4.6,270,0,0,0
1995-01-01 22:00:00,-13.4,60,4.1,280,0,0,0
1995-01-01 23:00:00,-13.4,54,4.1,270,0,0,0
1995-01-02 00:00:00,-13.9,59,4.1,290,0,0,0
1995-01-02 01:00:00,-15.0,59,5.1,290,0,0,0
1995-01-02 02:00:00,-15.6,62,3.0,290,0,0,0
1995-01-02 03:00:00,-16.2,62,2.5,290,0,0,0
1995-01-02 04:00:00,-16.3,62,2.4,290,0,0,0
1995-01-02 05:00:00,-16.5,62,2.3,300,0,0,0
1995-01-02 06:00:00,-16.7,62,2.1,300,0,0,0
1995-01-02 07:00:00,-16.7,62,2.0,300,0,0,0
1995-01-02 08:00:00,-16.7,59,0.0,0,2,44,1
1995-01-02 09:00:00,-16.2,59,4.1,280,74,339,34
