date_time,Dry Bulb Temperature [°C],Relative Humidity [%],Wind Speed [m/s],Wind Direction [Deg],Global Horizontal Radiation [W/m2],Direct Normal Radiation [W/m2],Diffuse Horizontal Radiation [W/m2]
1998-01-01 01:00:00,-10.0,70,5.1,190,0,0,0
1998-01-01 02:00:00,-10.0,70,4.6,200,0,0,0
1998-01-01 03:00:00,-9.0,77,4.6,190,0,0,0
1998-01-01 04:00:00,-9.0,84,4.1,200,0,0,0
1998-01-01 05:00:00,-7.0,84,5.7,210,0,0,0
1998-01-01 06:00:00,-7.0,92,4.6,200,0,0,0
1998-01-01 07:00:00,-7.0,92,4.6,190,0,0,0
1998-01-01 08:00:00,-6.0,84,6.2,200,0,0,0
1998-01-01 09:00:00,-5.0,84,5.1,210,97,265,66
1998-01-01 10:00:00,-2.0,85,6.2,220,188,479,73
1998-01-01 11:00:00,1.0,79,6.7,220,267,553,86
1998-01-01 12:00:00,3.0,74,6.7,240,340,683,84
1998-01-01 13:00:00,3.0,74,7.2,250,368,795,67
1998-01-01 14:00:00,4.0,69,5.7,230,317,785,53
1998-01-01 15:00:00,5.0,64,5.1,230,226,714,44
1998-01-01 16:00:00,4.0,69,4.1,240,98,492,31
1998-01-01 17:00:00,3.0,74,4.1,240,0,0,0
1998-01-01 18:00:00,3.0,74,4.1,240,0,0,0
1998-01-01 19:00:00,2.0,80,4.1,230,0,0,0
1998-01-01 20:00:00,1.0,86,4.1,250,0,0,0
1998-01-01 21:00:00,1.0,86,3.6,240,0,0,0
1998-01-01 22:00:00,-1.0,92,3.6,220,0,0,0
1998-01-01 23:00:00,-2.0,100,2.6,210,0,0,0
1998-01-02 00:00:00,-1.0,92,1.5,210,0,0,0
1998-01-02 01:00:00,-2.0,100,2.6,210,0,0,0
1998-01-02 02:00:00,-1.0,100,2.1,210,0,0,0
1998-01-02 03:00:00,-3.0,100,3.6,190,0,0,0
1998-01-02 04:00:00,-2.0,100,3.1,190,0,0,0
1998-01-02 05:00:00,-3.0,100,3.6,190,0,0,0
1998-01-02 06:00:00,-3.0,92,3.6,180,0,0,0
1998-01-02 07:00:00,-2.0,100,3.6,170,0,0,0
1998-01-02 08:00:00,-2.0,92,3.1,170,0,0,0
1998-01-02 09:00:00,-2.0,100,3.1,170,54,0,54
1998-01-02 10:00:00,0.0,100,5.7,190,166,217,114
1998-01-02 11:00:00,2.0,100,6.2,210,52,0,52
1998-01-02 12:00:00,3.0,100,5.7,210,56,0,56
1998-01-02 13:00:00,6.0,87,7.7,210,59,0,59
1998-01-02 14:00:00,7.0,81,6.7,220,51,0,51
1998-01-02 15:00:00,7.0,81,7.7,210,37,0,37
1998-01-02 16:00:00,7.0,81,5.7,220,43,11,42
