"perc_positive_NB_NG_cool","perc_positive_private_NG_cool","perc_positive_NB_NG_nocool","perc_positive_private_NG_nocool","perc_positive_NB_P_cool","perc_positive_private_P_cool","perc_positive_NB_P_nocool","perc_positive_private_P_nocool","perc_positive_NB_HO_cool","perc_positive_private_HO_cool","perc_positive_NB_HO_nocool","perc_positive_private_HO_nocool","perc_positive_NB_ElecRes_cool","perc_positive_private_ElecRes_cool","perc_positive_NB_ElecRes_nocool","perc_positive_private_ElecRes_nocool","perc_positive_NB_wood_cool","perc_positive_private_wood_cool","perc_positive_NB_wood_nocool","perc_positive_private_wood_nocool","perc_households_NG","perc_households_P","perc_households_HO","perc_households_ElecRes","perc_households_wood","perc_positiveNB_cool","perc_positivePrivate_cool","perc_positiveNB_nocool","perc_positivePrivate_nocool","NAME","FIPS","x","y"
0.038,0.002,0,0,1,1,0.863,0.811,0.985,0.914,0.502,0.166,1,1,1,1,1,1,1,0.965,0.446161021395674,0.285139625721448,0.0471637614411473,0.0823179618725587,0.117588759983676,0.548456771410249,0.529046347577683,0.469658427097301,0.434868536116131,"Shawano County",55115,-88.27947753,44.84582654
0.571,0.113,0,0,1,1,0.939,0.914,1,1,0.913,0.874,1,1,1,1,1,1,1,1,0.653093046268254,0.118204443911362,0.0185912621068098,0.167771147560646,0.0315451737683289,0.70902815676632,0.40991154157546,0.327284116465261,0.323603946145312,"Jefferson County",55055,-88.99506902,43.18684803
0.531,0.099,0,0,1,1,0.906,0.897,1,1,0.892,0.773,1,1,1,1,1,1,1,1,0.512055624088819,0.19834772531868,0.0240738663975179,0.188030354005458,0.0657545512317297,0.748108033344548,0.526900003738178,0.454961833202497,0.450311913573324,"Sauk County",55111,-89.73009437,43.27154699
0.49,0.095,0,0,1,1,0.899,0.888,1,0.999,0.886,0.82,1,1,1,1,1,1,1,1,0.320640310453553,0.369391219985447,0.0315304390007276,0.133034198399224,0.124909046810575,0.815978656318215,0.689294203250061,0.617961920931361,0.611817608537473,"Jackson County",55053,-90.37195301,44.20812903
0.883,0.401,0,0,1,1,0.966,0.918,1,1,0.891,0.89,1,1,1,1,1,1,1,1,0.449546920595915,0.257602518814314,0.0454999232068807,0.172784518507142,0.0611657195515282,0.934002610966057,0.717320995238827,0.523334702810628,0.510924281984334,"Chippewa County",55017,-91.12785525,45.16190185
0.924,0.503,0,0,1,1,0.888,0.878,1,1,0.866,0.679,1,1,1,1,1,1,1,0.997,0.347342053993877,0.375637814268485,0.0200389646534929,0.136469060209667,0.104184061601262,0.957273958623249,0.811042953891827,0.591573244271268,0.583757027553576,"Juneau County",55057,-90.2240278,43.64911202
0,0,0,0,0.913,0.886,0.17,0.146,0.881,0.843,0.12,0.12,1,1,1,1,0.987,1,0,0,0.501797483523068,0.228879568603954,0.0173756740563211,0.101108448172558,0.144098262432594,0.467608448172558,0.462641701617735,0.142103055721989,0.136609946075494,"Crawford County",55023,-90.67267699,43.20157642
0.855,0.334,0,0,1,1,0.972,0.933,1,1,0.893,0.893,1,1,1,1,1,1,1,1,0.685847308031774,0.0540556045895852,0.0062621359223301,0.230489849955869,0.00817740511915269,0.885384443954104,0.52805799646955,0.29680139011474,0.294693221535746,"Dane County",55025,-89.77004809,42.9882923
0.211,0.028,0,0,1,1,0.89,0.887,0.998,0.961,0.865,0.644,1,1,1,1,1,1,1,1,0.347142635899024,0.308115223788137,0.0545144804088586,0.104847452377265,0.1610655102989,0.701680734087037,0.636136595942388,0.58729053740127,0.574318491559548,"Clark County",55019,-90.67055823,44.44634613
0.066,0.006,0,0,1,1,0.852,0.802,0.988,0.913,0.481,0.156,1,1,1,1,1,1,0.981,0.811,0.263249449147628,0.364026440913835,0.052765858749855,0.130465035370521,0.17708454134292,0.741083149715876,0.721330743360779,0.639715876145193,0.574261277977502,"Taylor County",55119,-90.4826137,45.16631345
0.25,0.019,0,0,1,1,0.901,0.885,1,0.98,0.876,0.736,1,1,1,1,1,1,1,1,0.249478652178685,0.531774777741192,0.0111952584787619,0.0894523103940292,0.10097684118099,0.795768850839644,0.737915377016793,0.679365272747229,0.669289540116343,"Adams County",55001,-89.91771306,44.08073422
0.001,0,0,0,1,1,0.493,0.335,0.909,0.893,0.13,0.118,1,1,1,1,1,1,0.368,0.123,0.43371808324589,0.309898565932144,0.0314795383001049,0.0951381601958727,0.117523609653725,0.551608954179783,0.550671563483736,0.295259181532004,0.217124169289962,"Iron County",55051,-90.16395194,46.04763584
0.011,0,0,0,1,1,0.873,0.85,0.964,0.894,0.61,0.238,1,1,1,1,1,1,1,0.989,0.43529263370333,0.292696770938446,0.0179112008072654,0.175012613521695,0.0520307769929364,0.541794778002018,0.535752774974773,0.493493504036327,0.479526173057518,"Pierce County",55093,-92.52796446,44.67103288
0.129,0.01,0,0,1,1,0.891,0.889,1,0.946,0.855,0.563,1,1,1,1,1,1,1,1,0.684412220059169,0.0812115823842298,0.011772460413569,0.191210509373515,0.0184711130186857,0.390954841577632,0.308874074528258,0.292106595950151,0.28850661434462,"Rock County",55105,-89.29793895,42.76927013
0.003,0,0,0,1,1,0.861,0.805,0.933,0.891,0.46,0.131,1,1,1,1,1,1,0.999,0.962,0.395750332005312,0.293050022133687,0.101962520289214,0.0991589198760514,0.0938468348826915,0.582374059318282,0.57690438247012,0.492130736314003,0.438701933008706,"Lafayette County",55065,-89.97475576,42.61009799
0.736,0.192,0,0,1,1,0.966,0.933,1,1,0.917,0.916,1,1,1,1,1,1,1,1,0.355754981063725,0.321422690597728,0.0433064383336078,0.0949283714803227,0.168779845216532,0.890273011691092,0.696742301992426,0.613914539766178,0.60326428453812,"Vernon County",55123,-90.61411934,43.57791355
0.004,0.001,0,0,1,0.999,0.652,0.453,0.904,0.889,0.121,0.098,1,1,1,1,1,1,0.533,0.227,0.208285822881034,0.563157227923476,0.0116558976308121,0.0902065120993285,0.114025085518814,0.778758900291397,0.777396047130369,0.519570758900291,0.372342708729254,"Sawyer County",55113,-90.73862035,45.76660527
0.027,0,0,0,1,1,0.895,0.883,0.977,0.91,0.808,0.428,1,1,1,1,1,1,1,1,0.621889686589972,0.166709915520572,0.0106968831992619,0.159847764034253,0.0219415852146585,0.375741141193092,0.358233428480812,0.339637805264827,0.333572470662861,"St. Croix County",55109,-92.53059929,44.87244119
0.002,0.001,0,0,1,1,0.841,0.795,0.914,0.868,0.437,0.14,1,1,1,1,1,1,0.846,0.706,0.611979332780506,0.223575939274096,0.00427377687057473,0.0859858391273841,0.0662754353511514,0.380967404477898,0.380158831409071,0.331949862856414,0.311117496970084,"Oneida County",55085,-89.98941218,45.73057285
0.017,0.001,0,0,1,1,0.884,0.846,0.977,0.902,0.608,0.195,1,1,1,1,1,1,1,0.991,0.455880014839154,0.273888388361863,0.0181779638560602,0.120833112512587,0.115056441782818,0.535287773596905,0.526630346070274,0.489059091631777,0.470108325825428,"Marinette County",55075,-88.097141,45.09240346
0.001,0,0,0,1,1,0.7,0.528,0.912,0.869,0.173,0.11,1,1,1,1,1,1,0.834,0.493,0.45744085474434,0.214398371915543,0.0692953446960061,0.161332994149071,0.082065632154668,0.521451793436784,0.518014652760112,0.391842686339354,0.32261617908929,"Grant County",55043,-90.91788068,42.76414675
0.339,0.051,0,0,1,1,0.904,0.885,1,0.99,0.881,0.796,1,1,1,1,1,1,1,1,0.354473253912637,0.328311142256482,0.0273884606400374,0.191252043914973,0.0840925017519271,0.751210581639804,0.648848399906564,0.596267052090633,0.587701121233357,"Dunn County",55033,-91.6703802,44.79786111
0.632,0.145,0,0,1,1,0.964,0.908,1,1,0.887,0.887,1,1,1,1,1,1,1,1,0.401909858859332,0.316333490739283,0.0230862059919198,0.15331339524634,0.0859436486699197,0.832683771446561,0.636953670182066,0.564679993703762,0.546965318222362,"Barron County",55005,-92.13734159,45.51548078
0.01,0,0,0,1,1,0.763,0.651,0.954,0.896,0.225,0.119,1,1,1,1,1,1,0.873,0.607,0.05,0.682142857142857,0.00428571428571429,0.0492857142857143,0.194285714285714,0.930302857142857,0.929554285714286,0.740336428571429,0.611802142857143,"Menominee County",55078,-88.51261441,45.01601572
0.004,0,0,0,1,1,0.874,0.854,0.922,0.89,0.609,0.224,1,1,1,1,1,1,0.99,0.921,0.570489762036525,0.164672108467073,0.0141463752075263,0.171278361925844,0.0603209739900387,0.41159636137244,0.408861718317654,0.383534691477587,0.370632747648035,"Portage County",55097,-89.24853193,44.594972
0.566,0.094,0,0,1,1,0.967,0.92,1,1,0.892,0.892,1,1,1,1,1,1,1,1,0.604936155626018,0.15342645756563,0.0249950009998,0.165366926614677,0.0313365898248922,0.717518839089325,0.431988973633845,0.367362441797355,0.36015139829177,"Dodge County",55027,-88.74535793,43.62617377
1,0.997,0,0,1,1,1,0.97,1,1,0.889,0.879,1,1,1,1,1,1,1,1,0.347142635899024,0.308115223788137,0.0545144804088586,0.104847452377265,0.1610655102989,0.975685302772185,0.974643874864488,0.622491559547778,0.612702958030045,"Clark County",55019,-90.33040489,44.67087866
0.353,0.044,0,0,1,1,0.89,0.87,1,0.988,0.867,0.777,1,1,1,1,1,1,1,1,0.370184696569921,0.380079155672823,0.0261213720316623,0.0683377308707124,0.142480211081794,0.747693667546174,0.632993139841689,0.571735620052771,0.561783113456464,"Richland County",55103,-90.66186348,43.53027967
0.002,0,0,0,1,1,0.87,0.819,0.944,0.902,0.441,0.143,1,1,1,1,1,1,0.963,0.822,0.449546920595915,0.257602518814314,0.0454999232068807,0.172784518507142,0.0611657195515282,0.535403778221471,0.532593687605591,0.475866763937951,0.440545691906005,"Chippewa County",55017,-91.5207537,45.26127946
0,0,0,0,0.922,0.891,0.172,0.144,0.885,0.846,0.116,0.116,1,1,1,1,0.98,1,0,0,0.501797483523068,0.228879568603954,0.0173756740563211,0.101108448172558,0.144098262432594,0.468729179149191,0.463838226482924,0.142491312162972,0.136082684242061,"Crawford County",55023,-90.69618061,43.33311671
0.331,0.039,0,0,1,1,0.889,0.886,1,0.99,0.883,0.75,1,1,1,1,1,1,1,1,0.320640310453553,0.369391219985447,0.0315304390007276,0.133034198399224,0.124909046810575,0.7649968469561,0.671054571913655,0.614173417414504,0.608871695367451,"Jackson County",55053,-91.12375713,44.56327026
0.435,0.067,0,0,1,1,0.884,0.861,1,0.997,0.752,0.358,1,1,1,1,1,1,1,0.965,0.347342053993877,0.375637814268485,0.0200389646534929,0.136469060209667,0.104184061601262,0.787423694220243,0.659541701456536,0.587786251043696,0.567604787086001,"Juneau County",55057,-90.05527128,43.7008731
0.007,0.001,0,0,1,1,0.879,0.848,0.938,0.888,0.635,0.243,1,1,1,1,1,1,1,0.984,0.303155006858711,0.46721536351166,0.0222222222222222,0.0818930041152263,0.110973936899863,0.683048834019204,0.680118792866941,0.617660356652949,0.592689986282579,"Washburn County",55129,-91.77668657,45.83959999
0.004,0.001,0,0,1,1,0.865,0.85,0.924,0.881,0.607,0.204,1,1,1,1,1,1,1,0.979,0.355754981063725,0.321422690597728,0.0433064383336078,0.0949283714803227,0.168779845216532,0.626569076239091,0.623639634447555,0.568025852132389,0.542207640375432,"Vernon County",55123,-90.72578966,43.43978447
0.387,0.049,0,0,1,1,0.909,0.894,1,0.992,0.889,0.774,1,1,1,1,1,1,1,1,0.347142635899024,0.308115223788137,0.0545144804088586,0.104847452377265,0.1610655102989,0.762886866966083,0.645116540188942,0.594453074183057,0.583562180579216,"Clark County",55019,-90.90909717,44.83006417
1,0.998,0,0,1,1,1,1,1,1,0.933,0.906,1,1,1,1,1,1,1,1,0.573931211828994,0.151826850958963,0.0379834994106932,0.150523232972606,0.0633772634736955,0.977642058644951,0.976494196221294,0.401165952355441,0.400140397871353,"Marathon County",55073,-90.22066513,44.70321967
0.823,0.244,0,0,1,1,0.978,0.931,1,1,0.883,0.883,1,1,1,1,1,1,1,1,0.685847308031774,0.0540556045895852,0.0062621359223301,0.230489849955869,0.00817740511915269,0.863437330097087,0.46633173874669,0.297063102383054,0.294522488967343,"Dane County",55025,-89.23405898,42.89966464
0.001,0,0,0,1,1,0.784,0.667,0.906,0.888,0.251,0.107,1,1,1,1,1,1,0.667,0.479,0.510589536905326,0.251857120278173,0.0265528686581318,0.114904378062273,0.0829777145566619,0.47430670143828,0.473318160265529,0.374371266002845,0.325480559506875,"Lincoln County",55069,-89.94159727,45.43955007
0.474,0.1,0,0,1,1,0.891,0.886,1,0.996,0.881,0.75,1,1,1,1,1,1,1,1,0.623352799094995,0.145718042009356,0.0364447977497172,0.126608982786559,0.0559818998991042,0.660222949215764,0.426943223163237,0.3445335249335,0.339030666218241,"Wood County",55141,-90.21456184,44.36902462
0.279,0.042,0,0,1,1,0.911,0.89,1,0.981,0.888,0.837,1,1,1,1,1,1,1,1,0.588359920239282,0.212612163509472,0.0125872382851446,0.0980807577268195,0.077642073778664,0.565074651046859,0.425394192422732,0.380589980059821,0.375483175473579,"Green Lake County",55047,-89.13681003,43.65614906
0.179,0.021,0,0,1,1,0.872,0.861,0.998,0.955,0.737,0.369,1,1,1,1,1,1,1,0.972,0.275491113189897,0.431244153414406,0.0380417835983785,0.0954162768942937,0.148737137511693,0.762676177112566,0.717512784533832,0.648235110695354,0.625327408793265,"Rusk County",55107,-91.28154389,45.31356472
0.736,0.21,0,0,1,1,0.951,0.904,1,1,0.874,0.874,1,1,1,1,1,1,1,1,0.355754981063725,0.321422690597728,0.0433064383336078,0.0949283714803227,0.168779845216532,0.890273011691092,0.703145891651573,0.607231022558867,0.592124156100774,"Vernon County",55123,-90.67793986,43.50601524
0.017,0.001,0,0,1,1,0.86,0.831,0.954,0.88,0.594,0.218,1,1,1,1,1,1,1,0.979,0.43529263370333,0.292696770938446,0.0179112008072654,0.175012613521695,0.0520307769929364,0.544227421796166,0.535937310797175,0.489401866801211,0.473086402623613,"Pierce County",55093,-92.33560244,44.85640233
0.021,0,0,0,1,1,0.886,0.857,0.97,0.9,0.635,0.237,1,1,1,1,1,1,1,0.985,0.505938608668826,0.226901126021903,0.014807959278112,0.111522443313281,0.1139904365263,0.477402437143298,0.465741169211785,0.435950331636588,0.42176677464137,"Ashland County",55003,-90.63025557,46.59387936
0.305,0.053,0,0,1,1,0.899,0.888,1,0.978,0.752,0.375,1,1,1,1,1,1,1,0.97,0.208285822881034,0.563157227923476,0.0116558976308121,0.0902065120993285,0.114025085518814,0.842571899151147,0.789827442037248,0.719275180539719,0.70526542506018,"Sawyer County",55113,-91.21090406,46.00048623
0.001,0.001,0,0,1,1,0.85,0.783,0.904,0.884,0.345,0.119,1,1,1,1,1,1,0.828,0.678,0.354473253912637,0.328311142256482,0.0273884606400374,0.191252043914973,0.0840925017519271,0.628769329595889,0.628221560383088,0.549394125204391,0.50859361130577,"Dunn County",55033,-92.11656309,45.19706572
0.038,0.002,0,0,1,1,0.887,0.876,0.986,0.912,0.723,0.316,1,1,1,1,1,1,1,0.991,0.503417606851684,0.199538828954953,0.0457053446430042,0.143786543687721,0.0866342748908836,0.494154986411925,0.472649757061682,0.440456724038541,0.418880013176316,"Trempealeau County",55121,-91.41101846,43.99681637
0.004,0.001,0,0,1,1,0.866,0.844,0.918,0.894,0.516,0.162,1,1,1,1,1,1,0.964,0.845,0.272785417332907,0.385033578509754,0.0550047969299648,0.138791173648865,0.125999360409338,0.701409657818996,0.699271186440678,0.622076111288775,0.579139750559642,"Pepin County",55091,-91.77394667,44.65943524
0.023,0.002,0,0,1,1,0.878,0.874,0.973,0.892,0.795,0.434,1,1,1,1,1,1,1,1,0.230942334739803,0.474964838255978,0.0277074542897328,0.10070323488045,0.151054852320675,0.758993952180028,0.751899859353024,0.690804641350211,0.678902390998594,"Bayfield County",55007,-91.1504266,46.68672747
0.37,0.053,0,0,1,1,0.943,0.898,1,0.998,0.891,0.883,1,1,1,1,1,1,1,1,0.716104455916997,0.0945817252268057,0.0267154528595058,0.122199388501829,0.0271665580672648,0.535621773344695,0.308563229913288,0.262359981955792,0.257890080697709,"Calumet County",55015,-88.1209443,43.96326182
0.006,0,0,0,1,1,0.871,0.84,0.944,0.901,0.501,0.169,1,1,1,1,1,1,0.991,0.895,0.354473253912637,0.328311142256482,0.0273884606400374,0.191252043914973,0.0840925017519271,0.631637234291053,0.628332690960056,0.574268336837188,0.546924842326559,"Dunn County",55033,-91.76097123,45.2038724
0.382,0.076,0,0,1,1,0.95,0.906,1,0.999,0.891,0.886,1,1,1,1,1,1,1,1,0.558506802557569,0.111292726311235,0.033147444834383,0.247512138839479,0.028243834431037,0.633545742993125,0.462609513965675,0.411018436613624,0.405955819431758,"Eau Claire County",55035,-91.46828831,44.67424372
0.091,0.008,0,0,1,1,0.879,0.872,0.997,0.933,0.794,0.469,1,1,1,1,1,1,1,1,0.320640310453553,0.369391219985447,0.0315304390007276,0.133034198399224,0.124909046810575,0.687948581130245,0.659317487266553,0.607673296143585,0.59484016492845,"Jackson County",55053,-90.8500517,44.29955636
0.201,0.028,0,0,1,1,0.884,0.879,1,0.971,0.821,0.503,1,1,1,1,1,1,1,1,0.446435506241331,0.236005547850208,0.0312898751733703,0.165825242718447,0.0988072122052705,0.621661414701803,0.543520665742025,0.498950346740638,0.487820138696255,"Monroe County",55081,-90.39270368,43.73483882
0.469,0.089,0,0,1,1,0.881,0.868,1,0.993,0.831,0.482,1,1,1,1,1,1,1,1,0.393178941097625,0.385508973117879,0.0405093454464219,0.119442996500112,0.0508600789336511,0.78072231737285,0.631030754337628,0.543599746816591,0.524450368605257,"Door County",55029,-87.35532874,44.76444084
0.178,0.014,0,0,1,1,0.89,0.887,1,0.967,0.865,0.654,1,1,1,1,1,1,1,1,0.503417606851684,0.199538828954953,0.0457053446430042,0.143786543687721,0.0866342748908836,0.565273326196162,0.481204562299267,0.447545499464712,0.437303055258173,"Trempealeau County",55121,-91.16466826,44.09777736
0.481,0.105,0,0,1,1,0.885,0.864,1,0.995,0.747,0.351,1,1,1,1,1,1,1,0.977,0.347342053993877,0.375637814268485,0.0200389646534929,0.136469060209667,0.104184061601262,0.803401428703961,0.672700621578996,0.588061694034697,0.569841636515447,"Juneau County",55057,-89.99830402,44.2129792
0.202,0.022,0,0,1,1,0.883,0.88,0.999,0.98,0.849,0.611,1,1,1,1,1,1,1,1,0.43529263370333,0.292696770938446,0.0179112008072654,0.175012613521695,0.0520307769929364,0.625562563067608,0.546869576185671,0.500701248738648,0.495560292633703,"Pierce County",55093,-92.60983431,44.84710389
0,0,0,0,0.964,0.906,0.334,0.236,0.901,0.901,0.112,0.11,1,1,1,1,1,1,0.006,0.001,0.370184696569921,0.380079155672823,0.0261213720316623,0.0683377308707124,0.142480211081794,0.600749604221636,0.578705013192612,0.199064643799472,0.161052242744063,"Richland County",55103,-90.58049939,43.49076187
0.385,0.055,0,0,1,1,0.907,0.896,1,0.991,0.893,0.762,1,1,1,1,1,1,1,1,0.728677217946856,0.121097720342675,0.0189632641208073,0.08317119210106,0.0341222593291709,0.537895164803253,0.297261013503703,0.244063278640918,0.240247016117322,"Manitowoc County",55071,-88.0254643,43.97438061
0.022,0.001,0,0,1,1,0.88,0.857,0.974,0.902,0.653,0.24,1,1,1,1,1,1,1,0.961,0.479069341394156,0.338554547952734,0.00430521205459375,0.0934322616103325,0.0791426215993405,0.525862233214253,0.515491801777045,0.473314188879729,0.460662819455894,"Vilas County",55125,-89.9046362,46.27315785
0.048,0.003,0,0,1,1,0.899,0.882,0.995,0.927,0.75,0.359,1,1,1,1,1,1,1,1,0.320640310453553,0.369391219985447,0.0315304390007276,0.133034198399224,0.124909046810575,0.674097986902741,0.657525103080281,0.613673781227262,0.595065728838225,"Jackson County",55053,-91.13149452,44.2151373
0.216,0.03,0,0,1,1,0.893,0.889,1,0.97,0.872,0.629,1,1,1,1,1,1,1,1,0.347142635899024,0.308115223788137,0.0545144804088586,0.104847452377265,0.1610655102989,0.70352547622735,0.637321511537866,0.588596484435496,0.574117004800991,"Clark County",55019,-90.85600484,44.5529491
0.12,0.004,0,0,1,1,0.893,0.886,0.998,0.945,0.839,0.501,1,1,1,1,1,1,1,1,0.347142635899024,0.308115223788137,0.0545144804088586,0.104847452377265,0.1610655102989,0.670090754220226,0.62693294099427,0.586797506582004,0.566214805637293,"Clark County",55019,-90.38954586,45.01242458
0.227,0.025,0,0,1,1,0.909,0.888,0.999,0.977,0.888,0.83,1,1,1,1,1,1,1,1,0.617524165887122,0.0614697016942106,0.0162768942937325,0.275335204240723,0.0189585282195198,0.512202037210269,0.387104064026609,0.364623573433115,0.3623886498285,"La Crosse County",55063,-91.12318592,44.05872937
0.043,0.003,0,0,1,1,0.902,0.901,0.995,0.927,0.875,0.648,1,1,1,1,1,1,1,1,0.272785417332907,0.385033578509754,0.0550047969299648,0.138791173648865,0.125999360409338,0.716283658458587,0.701631915574033,0.66022001918772,0.647348896706108,"Pepin County",55091,-91.7225377,44.61408985
0.001,0,0,0,1,1,0.733,0.609,0.926,0.906,0.203,0.129,1,1,1,1,1,1,0.555,0.323,0.275491113189897,0.431244153414406,0.0380417835983785,0.0954162768942937,0.148737137511693,0.710899750545681,0.709863423760524,0.501789834736514,0.410993451824135,"Rusk County",55107,-90.69341213,45.63137355
0.201,0.019,0,0,1,1,0.897,0.883,1,0.97,0.88,0.787,1,1,1,1,1,1,1,1,0.621889686589972,0.166709915520572,0.0106968831992619,0.159847764034253,0.0219415852146585,0.48419597497333,0.370691145517977,0.340741400686215,0.337412651731396,"St. Croix County",55109,-92.59698294,44.87006335
0,0,0,0,1,1,0.768,0.63,0.917,0.894,0.222,0.108,1,1,1,1,1,1,0.951,0.7,0.446161021395674,0.285139625721448,0.0471637614411473,0.0823179618725587,0.117588759983676,0.528295516819215,0.527210750306069,0.423602460211042,0.349361744301288,"Shawano County",55115,-89.07349085,44.7817648
0.942,0.5,0,0,1,1,0.947,0.909,1,1,0.897,0.893,1,1,1,1,1,1,1,1,0.395750332005312,0.293050022133687,0.101962520289214,0.0991589198760514,0.0938468348826915,0.960815109930648,0.7858934631843,0.561984506418769,0.550440755496532,"Lafayette County",55065,-89.86588377,42.70224905
0.199,0.02,0,0,1,1,0.895,0.888,1,0.979,0.876,0.687,1,1,1,1,1,1,1,1,0.449546920595915,0.257602518814314,0.0454999232068807,0.172784518507142,0.0611657195515282,0.626512517278452,0.545088120104439,0.504362425126709,0.493959722008908,"Chippewa County",55017,-91.0877015,45.11281541
0.025,0.003,0,0,1,1,0.897,0.888,0.983,0.915,0.815,0.465,1,1,1,1,1,1,1,1,0.540749710434874,0.20027377066442,0.0276929556702116,0.165420659155523,0.0505422765083711,0.456977624513004,0.443198009897863,0.418178266821101,0.406683268400548,"Douglas County",55031,-91.6194026,46.70339112
0.584,0.108,0,0,1,1,0.96,0.913,1,0.999,0.897,0.896,1,1,1,1,1,1,1,1,0.303155006858711,0.46721536351166,0.0222222222222222,0.0818930041152263,0.110973936899863,0.859347050754458,0.71502304526749,0.661327023319616,0.639345679012346,"Washburn County",55129,-91.86109327,45.82365441
