NAME,FIPS,x,y
Walworth County,55127,-88.55979766,42.56962645
Dodge County,55027,-88.74109204,43.61569937
Richland County,55103,-90.26565674,43.28877398
Dunn County,55033,-91.6597542,44.72359129
Dunn County,55033,-91.6597542,44.72359129
Marquette County,55077,-89.55454525,43.90325935
Marquette County,55077,-89.49152953,43.88538149
Marquette County,55077,-89.49315824,43.70858591
Barron County,55005,-92.12623413,45.24263113
Iowa County,55049,-90.13412105,43.00002195
Lafayette County,55065,-90.33850253,42.68626101
Waukesha County,55133,-88.49807642,43.11147753
Juneau County,55057,-90.08466906,43.81112853
Shawano County,55115,-88.80376608,44.71093767
Washburn County,55129,-91.8149923,45.99893386
Washburn County,55129,-91.84712791,45.76298591
Juneau County,55057,-90.20515465,43.67373685
Marathon County,55073,-90.12429519,44.68861115
Dane County,55025,-89.20317404,42.93099867
Rock County,55105,-89.35580641,42.61636618
Green County,55045,-89.62881236,42.81126831
Lincoln County,55069,-89.84948981,45.4723141
Lincoln County,55069,-90.01475613,45.54181928
Wood County,55141,-90.16300255,44.41877558
Green Lake County,55047,-89.15600903,43.70753878
Rusk County,55107,-91.34847477,45.35657454
Pierce County,55093,-92.26027512,44.8450758
Chippewa County,55017,-91.49831392,45.2363926
Chippewa County,55017,-91.49831392,45.2363926
Burnett County,55013,-92.08938161,45.70999661
Burnett County,55013,-92.08938161,45.70999661
Ashland County,55003,-90.79523189,46.4005211
Waushara County,55137,-89.53953605,43.98805204
Waushara County,55137,-88.96187649,44.20141741
Waushara County,55137,-89.24169846,44.02346216
Sawyer County,55113,-91.37972784,45.9939721
Dunn County,55033,-92.14753787,45.14537541
Milwaukee County,55079,-87.96688491,43.00729698
Pepin County,55091,-91.88406672,44.65212232
Bayfield County,55007,-91.4646591,46.56121892
Bayfield County,55007,-90.98331673,46.51373738
Door County,55029,-87.19295728,45.06334937
Columbia County,55021,-89.38540196,43.41539493
Eau Claire County,55035,-91.19104194,44.6572859
Monroe County,55081,-90.3884805,43.74429764
Washburn County,55129,-91.87386495,46.06713497
Washburn County,55129,-91.59930995,45.67660948
Lincoln County,55069,-89.68522984,45.33014179
Polk County,55095,-92.51219724,45.48005612
Polk County,55095,-92.34258369,45.57947055
Marquette County,55077,-89.21296677,43.94602655
Pepin County,55091,-91.66460009,44.65154747
Pepin County,55091,-91.66460009,44.65154747
Forest County,55041,-88.73671368,45.52968669
Forest County,55041,-88.77608121,45.91916162
Taylor County,55119,-90.80329921,45.05986348
Barron County,55005,-91.63170075,45.52474728
Iron County,55051,-90.05179162,46.15416989
Vilas County,55125,-89.88258232,46.24478824
Jackson County,55053,-91.14606314,44.30461895
Clark County,55019,-90.87485182,44.52870833
Clark County,55019,-90.33948362,45.00875228
Dodge County,55027,-88.70398985,43.40636669
Adams County,55001,-89.63163437,43.85607979
Adams County,55001,-89.83299017,43.96081324
La Crosse County,55063,-91.10108631,44.05222568
Dane County,55025,-89.4668495,43.10947513
Dane County,55025,-89.07069926,43.12209587
Dane County,55025,-89.42521134,42.91299254
Pepin County,55091,-91.88218139,44.61499496
Jackson County,55053,-90.91343941,44.45709278
Jackson County,55053,-90.59350487,44.16728895
Oconto County,55083,-88.48521817,45.24049229
Oconto County,55083,-88.3918264,44.86575812
Washington County,55131,-88.28001913,43.33170365
St. Croix County,55109,-92.63952893,44.88191144
Shawano County,55115,-89.04218588,44.91379419
Sauk County,55111,-89.89705782,43.41582628
Lafayette County,55065,-89.85753299,42.71488415
Chippewa County,55017,-91.43475098,44.99911991
Grant County,55043,-90.43338203,42.60409715
Douglas County,55031,-91.56901708,46.55739836
Douglas County,55031,-91.5596445,46.6284067
Washburn County,55129,-91.89034771,45.82721362
Barron County,55005,-92.03382244,45.52946353
Iowa County,55049,-90.29452857,42.81796241
Richland County,55103,-90.48284451,43.21248278
Chippewa County,55017,-91.3037371,44.93403548
Dunn County,55033,-91.81695434,44.87316528
Buffalo County,55011,-91.6048517,44.5882994
Marathon County,55073,-90.19153107,44.81948539
Marathon County,55073,-90.28059047,44.75226924
Monroe County,55081,-90.72710938,43.78585763
Monroe County,55081,-90.41442494,43.79156456
Dunn County,55033,-92.12226004,45.08394338
Barron County,55005,-92.08524519,45.30713841
Green Lake County,55047,-89.13072833,43.85262081
Adams County,55001,-89.77550833,43.65352782
Vernon County,55123,-90.93343178,43.56324716
Vernon County,55123,-90.56708641,43.71117286
Sheboygan County,55117,-87.82406037,43.69874669
Sheboygan County,55117,-87.82194696,43.74621301
Outagamie County,55087,-88.72335888,44.38954889
Chippewa County,55017,-91.49085747,45.10320893
Brown County,55009,-87.97745014,44.34311667
Brown County,55009,-88.17426566,44.2524956
Marinette County,55075,-88.03792493,45.37489324
Marinette County,55075,-87.93930671,45.71727992
Taylor County,55119,-90.86063159,45.11090347
Rusk County,55107,-91.36316251,45.59840141
Rusk County,55107,-91.32974123,45.43920454
Green Lake County,55047,-89.01737614,43.71742969
Crawford County,55023,-91.09482108,43.41327947
Crawford County,55023,-91.09482108,43.41327947
Chippewa County,55017,-91.15026206,44.90140712
Vernon County,55123,-90.97950125,43.67841143
Vernon County,55123,-90.33107368,43.65195559
Ashland County,55003,-90.5602506,46.32808684
Richland County,55103,-90.62312834,43.24292586
Waushara County,55137,-89.03653956,44.18763396
Waushara County,55137,-89.49104916,44.18245621
Shawano County,55115,-88.87869315,44.77156138
Grant County,55043,-90.43673269,42.53444895
Dane County,55025,-89.44502591,43.21384683
Chippewa County,55017,-91.60163862,44.90001392
Burnett County,55013,-92.49386806,45.74483462
Douglas County,55031,-91.87684131,46.56857566
Douglas County,55031,-92.06140674,46.64705261
Crawford County,55023,-90.8409408,43.27346066
Iron County,55051,-90.24278948,46.44926787
La Crosse County,55063,-91.11973023,43.77610983
Vernon County,55123,-90.86115929,43.65671154
Barron County,55005,-91.75614233,45.48432596
Barron County,55005,-91.74556634,45.50079894
Oconto County,55083,-88.30095048,44.98667474
Oconto County,55083,-88.28198757,44.90091158
Oconto County,55083,-88.47966098,44.88451027
Menominee County,55078,-88.61293739,44.88510394
Pierce County,55093,-92.18972905,44.71829443
St. Croix County,55109,-92.7126036,45.1812696
Clark County,55019,-90.49492455,44.72621963
Ashland County,55003,-90.63719574,46.33337443
Marquette County,55077,-89.43620155,43.9126297
Dunn County,55033,-92.0327701,44.92226119
Iowa County,55049,-90.42144628,43.18321342
Barron County,55005,-91.86400294,45.21521861
Dodge County,55027,-88.69841135,43.26274426
Dodge County,55027,-88.74354513,43.49011
Fond du Lac County,55039,-88.4238115,43.67029745
Fond du Lac County,55039,-88.56843267,43.77032352
Portage County,55097,-89.6086882,44.29977328
Portage County,55097,-89.71626976,44.32852617
Taylor County,55119,-90.34665391,45.13800629
Vilas County,55125,-89.59534088,46.00050498
Vilas County,55125,-89.80685877,46.17700351
Vilas County,55125,-89.22235895,46.07768036
Juneau County,55057,-90.26734114,43.73588552
Outagamie County,55087,-88.34044889,44.29579753
Racine County,55101,-88.06128362,42.74756554
Columbia County,55021,-89.29665703,43.52219128
Chippewa County,55017,-90.96607645,45.27756828
Green Lake County,55047,-89.0417847,43.84999714
Trempealeau County,55121,-91.19078683,44.58118245
Polk County,55095,-92.46710062,45.22225907
