NG_cool_NB,NG_cool_NB_capital,NG_cool_NB_MO,NG_cool_NB_emissions,NG_cool_private,NG_cool_CO2e,NG_nocool_NB,NG_nocool_NB_capital,NG_nocool_NB_MO,NG_nocool_NB_emissions,NG_nocool_private,NG_nocool_CO2e,price_change
4232.499935,-624.19,4090.287688,766.4022475,3466.097688,23593.25057,-1827.017619,-6512.98,4090.287688,595.6746934,-2422.692312,18340.71435,0.65
4339.990028,-624.19,4194.329392,769.8506365,3570.139392,23603.91252,-1719.986073,-6512.98,4194.329392,598.6645352,-2318.650608,18351.37629,0.66
4425.409141,-624.19,4298.371095,751.2280451,3674.181095,23552.10999,-1630.823181,-6512.98,4298.371095,583.785723,-2214.608905,18299.57376,0.67
4559.319436,-624.19,4402.412799,781.0966364,3778.222799,23638.80236,-1503.056777,-6512.98,4402.412799,607.5104234,-2110.567201,18386.26614,0.68
4652.422447,-624.19,4506.454503,770.1579443,3882.264503,23601.17394,-1407.650075,-6512.98,4506.454503,598.8754218,-2006.525497,18348.63772,0.69
4746.694344,-624.19,4610.496207,760.3881373,3986.306207,23577.81672,-1311.439166,-6512.98,4610.496207,591.0446273,-1902.483793,18325.2805,0.7
4853.210427,-624.19,4714.537911,762.8625161,4090.347911,23606.45072,-1205.259806,-6512.98,4714.537911,593.1822836,-1798.442089,18353.9145,0.71
4957.582136,-624.19,4818.579614,763.1925216,4194.389614,23622.32645,-1100.927836,-6512.98,4818.579614,593.4725496,-1694.400386,18369.79023,0.72
5084.176736,-624.19,4922.621318,785.7454183,4298.431318,23589.90095,-979.6697586,-6512.98,4922.621318,610.6889233,-1590.358682,18337.36473,0.73
5170.171857,-624.19,5026.663022,767.6988347,4402.473022,23650.18442,-889.06916,-6512.98,5026.663022,597.247818,-1486.316978,18397.6482,0.74
5278.195961,-624.19,5130.704726,771.6812352,4506.514726,23656.86501,-781.9095937,-6512.98,5130.704726,600.3656805,-1382.275274,18404.32879,0.75
5380.737651,-624.19,5234.74643,770.1812215,4610.55643,23621.28617,-679.2209259,-6512.98,5234.74643,599.0126446,-1278.23357,18368.74995,0.76
5470.905457,-624.19,5338.788133,756.3073234,4714.598133,23574.63507,-586.3632292,-6512.98,5338.788133,587.8286375,-1174.191867,18322.09885,0.77
