"zipcode","totalcost_low","totalcost_high","systemcost_low","systemcost_high","laborcost_low","laborcost_high","jobsupplycost_low","jobsupplycost_high","size","efficiency"
"53070","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53072","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53072","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53073","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53074","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53075","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53076","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53078","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53079","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53080","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53081","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53083","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53085","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53086","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53089","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53090","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53091","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53092","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53093","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53094","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53094","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53095","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53097","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53098","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53099","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53103","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53104","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53105","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53108","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53110","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53114","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53115","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53118","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53119","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53120","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53121","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53122","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53125","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53126","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53128","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53129","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53130","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53137","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53139","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53140","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53142","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53143","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53144","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53147","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53149","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53150","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
"53153","$3,109.60","$3,924.12","$1,896.60","$2,213.30","$1,021.52","$1,471.55","$191.48","$239.27","45K","92%+"
