zipcode,totalcost_low,totalcost_high,systemcost_low,systemcost_high,laborcost_low,laborcost_high,jobsupplycost_low,jobsupplycost_high,price_region
53118,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53119,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53120,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53121,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53122,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53125,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53126,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53128,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53129,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53130,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53137,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53139,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53140,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53142,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53143,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53144,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53147,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53149,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53150,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53153,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53154,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53156,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53158,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53158,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53168,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53170,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53172,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53177,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
