"zipcode","totalcost_low","totalcost_high","systemcost_low","systemcost_high","laborcost_low","laborcost_high","jobsupplycost_low","jobsupplycost_high","ton","SEER"
"53001","$11,923.86","$14,294.64","$9,833.08","$11,475.04","$1,376.21","$1,985.29","$714.56","$834.31",2,20
"53002","$11,923.86","$14,294.64","$9,833.08","$11,475.04","$1,376.21","$1,985.29","$714.56","$834.31",2,20
"53004","$11,923.86","$14,294.64","$9,833.08","$11,475.04","$1,376.21","$1,985.29","$714.56","$834.31",2,20
"53005","$11,923.86","$14,294.64","$9,833.08","$11,475.04","$1,376.21","$1,985.29","$714.56","$834.31",2,20
"53006","$11,923.86","$14,294.64","$9,833.08","$11,475.04","$1,376.21","$1,985.29","$714.56","$834.31",2,20
"53007","$11,923.86","$14,294.64","$9,833.08","$11,475.04","$1,376.21","$1,985.29","$714.56","$834.31",2,20
"53010","$11,923.86","$14,294.64","$9,833.08","$11,475.04","$1,376.21","$1,985.29","$714.56","$834.31",2,20
"53011","$11,923.86","$14,294.64","$9,833.08","$11,475.04","$1,376.21","$1,985.29","$714.56","$834.31",2,20
"53012","$11,923.86","$14,294.64","$9,833.08","$11,475.04","$1,376.21","$1,985.29","$714.56","$834.31",2,20
"53013","$11,923.86","$14,294.64","$9,833.08","$11,475.04","$1,376.21","$1,985.29","$714.56","$834.31",2,20
"53014","$11,923.86","$14,294.64","$9,833.08","$11,475.04","$1,376.21","$1,985.29","$714.56","$834.31",2,20
"53015","$11,923.86","$14,294.64","$9,833.08","$11,475.04","$1,376.21","$1,985.29","$714.56","$834.31",2,20
"53017","$11,923.86","$14,294.64","$9,833.08","$11,475.04","$1,376.21","$1,985.29","$714.56","$834.31",2,20
"53018","$11,923.86","$14,294.64","$9,833.08","$11,475.04","$1,376.21","$1,985.29","$714.56","$834.31",2,20
"53019","$11,923.86","$14,294.64","$9,833.08","$11,475.04","$1,376.21","$1,985.29","$714.56","$834.31",2,20
"53020","$11,923.86","$14,294.64","$9,833.08","$11,475.04","$1,376.21","$1,985.29","$714.56","$834.31",2,20
"53021","$11,923.86","$14,294.64","$9,833.08","$11,475.04","$1,376.21","$1,985.29","$714.56","$834.31",2,20
"53022","$11,923.86","$14,294.64","$9,833.08","$11,475.04","$1,376.21","$1,985.29","$714.56","$834.31",2,20
"53023","$11,923.86","$14,294.64","$9,833.08","$11,475.04","$1,376.21","$1,985.29","$714.56","$834.31",2,20
"53024","$11,923.86","$14,294.64","$9,833.08","$11,475.04","$1,376.21","$1,985.29","$714.56","$834.31",2,20
"53027","$11,923.86","$14,294.64","$9,833.08","$11,475.04","$1,376.21","$1,985.29","$714.56","$834.31",2,20
"53029","$11,923.86","$14,294.64","$9,833.08","$11,475.04","$1,376.21","$1,985.29","$714.56","$834.31",2,20
"53032","$11,923.86","$14,294.64","$9,833.08","$11,475.04","$1,376.21","$1,985.29","$714.56","$834.31",2,20
"53033","$11,923.86","$14,294.64","$9,833.08","$11,475.04","$1,376.21","$1,985.29","$714.56","$834.31",2,20
"53034","$11,923.86","$14,294.64","$9,833.08","$11,475.04","$1,376.21","$1,985.29","$714.56","$834.31",2,20
"53035","$11,923.86","$14,294.64","$9,833.08","$11,475.04","$1,376.21","$1,985.29","$714.56","$834.31",2,20
