"zipcode","totalcost_low","totalcost_high","systemcost_low","systemcost_high","laborcost_low","laborcost_high","jobsupplycost_low","jobsupplycost_high","size","efficiency"
53001,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53002,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53004,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53005,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53006,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53007,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53010,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53011,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53012,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53013,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53014,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53015,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53017,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53018,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53019,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53020,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53021,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53022,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53023,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53024,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53027,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53029,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53032,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53033,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53034,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53035,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53036,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53037,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53038,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53039,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53040,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53042,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53044,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53045,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53046,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53048,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53049,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53050,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53051,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53057,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53058,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53059,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53061,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53062,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53063,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53065,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53066,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53069,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53070,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53072,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53072,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53073,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53074,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53075,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53076,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53078,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53079,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53080,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53081,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53083,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53085,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53086,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53089,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53090,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53091,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53092,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53093,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53094,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53094,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53095,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53097,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53098,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53099,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53103,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53104,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53105,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53108,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53110,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53114,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53115,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53118,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53119,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53120,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53121,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53122,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53125,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53126,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53128,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53129,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53130,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53137,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53139,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53140,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53142,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53143,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53144,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53147,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53149,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53150,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53153,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53154,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53156,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53158,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53158,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53168,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53170,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53172,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53177,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53178,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53179,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53181,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53182,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53183,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53184,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53185,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53186,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53188,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
53189,3625.62,4525.07,2370.75,2766.62,1021.52,1471.55,233.35,286.9,"115K","92%+"
