"zipcode","totalcost_low","totalcost_high","systemcost_low","systemcost_high","laborcost_low","laborcost_high","jobsupplycost_low","jobsupplycost_high","ton","SEER","price_region"
53001,12205.68,14733.67,8468.66,9882.78,2524.02,3449.57,1213,1401.32,2,20,1
53002,12205.68,14733.67,8468.66,9882.78,2524.02,3449.57,1213,1401.32,2,20,1
53004,12205.68,14733.67,8468.66,9882.78,2524.02,3449.57,1213,1401.32,2,20,1
53005,12205.68,14733.67,8468.66,9882.78,2524.02,3449.57,1213,1401.32,2,20,1
53006,12205.68,14733.67,8468.66,9882.78,2524.02,3449.57,1213,1401.32,2,20,1
53007,12205.68,14733.67,8468.66,9882.78,2524.02,3449.57,1213,1401.32,2,20,1
53010,12205.68,14733.67,8468.66,9882.78,2524.02,3449.57,1213,1401.32,2,20,1
53011,12205.68,14733.67,8468.66,9882.78,2524.02,3449.57,1213,1401.32,2,20,1
53012,12205.68,14733.67,8468.66,9882.78,2524.02,3449.57,1213,1401.32,2,20,1
53013,12205.68,14733.67,8468.66,9882.78,2524.02,3449.57,1213,1401.32,2,20,1
53014,12205.68,14733.67,8468.66,9882.78,2524.02,3449.57,1213,1401.32,2,20,1
53015,12205.68,14733.67,8468.66,9882.78,2524.02,3449.57,1213,1401.32,2,20,1
53017,12205.68,14733.67,8468.66,9882.78,2524.02,3449.57,1213,1401.32,2,20,1
53018,12205.68,14733.67,8468.66,9882.78,2524.02,3449.57,1213,1401.32,2,20,1
53019,12205.68,14733.67,8468.66,9882.78,2524.02,3449.57,1213,1401.32,2,20,1
53020,12205.68,14733.67,8468.66,9882.78,2524.02,3449.57,1213,1401.32,2,20,1
53021,12205.68,14733.67,8468.66,9882.78,2524.02,3449.57,1213,1401.32,2,20,1
53022,12205.68,14733.67,8468.66,9882.78,2524.02,3449.57,1213,1401.32,2,20,1
53023,12205.68,14733.67,8468.66,9882.78,2524.02,3449.57,1213,1401.32,2,20,1
53024,12205.68,14733.67,8468.66,9882.78,2524.02,3449.57,1213,1401.32,2,20,1
53027,12205.68,14733.67,8468.66,9882.78,2524.02,3449.57,1213,1401.32,2,20,1
53029,12205.68,14733.67,8468.66,9882.78,2524.02,3449.57,1213,1401.32,2,20,1
53032,12205.68,14733.67,8468.66,9882.78,2524.02,3449.57,1213,1401.32,2,20,1
53033,12205.68,14733.67,8468.66,9882.78,2524.02,3449.57,1213,1401.32,2,20,1
53034,12205.68,14733.67,8468.66,9882.78,2524.02,3449.57,1213,1401.32,2,20,1
53035,12205.68,14733.67,8468.66,9882.78,2524.02,3449.57,1213,1401.32,2,20,1
53036,12205.68,14733.67,8468.66,9882.78,2524.02,3449.57,1213,1401.32,2,20,1
53037,12205.68,14733.67,8468.66,9882.78,2524.02,3449.57,1213,1401.32,2,20,1
53038,12205.68,14733.67,8468.66,9882.78,2524.02,3449.57,1213,1401.32,2,20,1
53039,12205.68,14733.67,8468.66,9882.78,2524.02,3449.57,1213,1401.32,2,20,1
53040,12205.68,14733.67,8468.66,9882.78,2524.02,3449.57,1213,1401.32,2,20,1
