"zipcode","totalcost_low","totalcost_high","systemcost_low","systemcost_high","laborcost_low","laborcost_high","jobsupplycost_low","jobsupplycost_high","ton","SEER","price_region"
53001,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53002,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53004,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53005,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53006,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53007,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53010,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53011,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53012,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53013,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53014,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53015,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53017,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53018,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53019,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53020,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53021,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53022,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53023,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53024,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53027,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53029,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53032,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53033,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53034,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53035,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53036,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53037,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53038,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53039,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53040,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53042,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53044,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53045,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53046,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53048,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53049,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53050,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53051,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53057,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53058,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53059,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53061,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53062,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53063,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53065,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53066,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53069,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53070,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53072,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53072,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53073,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53074,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53075,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53076,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53078,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53079,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
53080,8844.72,10707.28,6956,8117.53,1376.21,1985.29,512.51,604.46,5,16,1
