"zipcode","totalcost_low","totalcost_high","systemcost_low","systemcost_high","laborcost_low","laborcost_high","jobsupplycost_low","jobsupplycost_high","ton","SEER","price_region"
53001,14959.9,17937.83,10883.8,12701.21,2524.02,3449.57,1552.08,1787.05,3,20,1
53002,14959.9,17937.83,10883.8,12701.21,2524.02,3449.57,1552.08,1787.05,3,20,1
53004,14959.9,17937.83,10883.8,12701.21,2524.02,3449.57,1552.08,1787.05,3,20,1
53005,14959.9,17937.83,10883.8,12701.21,2524.02,3449.57,1552.08,1787.05,3,20,1
53006,14959.9,17937.83,10883.8,12701.21,2524.02,3449.57,1552.08,1787.05,3,20,1
53007,14959.9,17937.83,10883.8,12701.21,2524.02,3449.57,1552.08,1787.05,3,20,1
53010,14959.9,17937.83,10883.8,12701.21,2524.02,3449.57,1552.08,1787.05,3,20,1
53011,14959.9,17937.83,10883.8,12701.21,2524.02,3449.57,1552.08,1787.05,3,20,1
53012,14959.9,17937.83,10883.8,12701.21,2524.02,3449.57,1552.08,1787.05,3,20,1
53013,14959.9,17937.83,10883.8,12701.21,2524.02,3449.57,1552.08,1787.05,3,20,1
53014,14959.9,17937.83,10883.8,12701.21,2524.02,3449.57,1552.08,1787.05,3,20,1
53015,14959.9,17937.83,10883.8,12701.21,2524.02,3449.57,1552.08,1787.05,3,20,1
53017,14959.9,17937.83,10883.8,12701.21,2524.02,3449.57,1552.08,1787.05,3,20,1
53018,14959.9,17937.83,10883.8,12701.21,2524.02,3449.57,1552.08,1787.05,3,20,1
53019,14959.9,17937.83,10883.8,12701.21,2524.02,3449.57,1552.08,1787.05,3,20,1
53020,14959.9,17937.83,10883.8,12701.21,2524.02,3449.57,1552.08,1787.05,3,20,1
53021,14959.9,17937.83,10883.8,12701.21,2524.02,3449.57,1552.08,1787.05,3,20,1
53022,14959.9,17937.83,10883.8,12701.21,2524.02,3449.57,1552.08,1787.05,3,20,1
53023,14959.9,17937.83,10883.8,12701.21,2524.02,3449.57,1552.08,1787.05,3,20,1
53024,14959.9,17937.83,10883.8,12701.21,2524.02,3449.57,1552.08,1787.05,3,20,1
53027,14959.9,17937.83,10883.8,12701.21,2524.02,3449.57,1552.08,1787.05,3,20,1
53029,14959.9,17937.83,10883.8,12701.21,2524.02,3449.57,1552.08,1787.05,3,20,1
53032,14959.9,17937.83,10883.8,12701.21,2524.02,3449.57,1552.08,1787.05,3,20,1
53033,14959.9,17937.83,10883.8,12701.21,2524.02,3449.57,1552.08,1787.05,3,20,1
53034,14959.9,17937.83,10883.8,12701.21,2524.02,3449.57,1552.08,1787.05,3,20,1
53035,14959.9,17937.83,10883.8,12701.21,2524.02,3449.57,1552.08,1787.05,3,20,1
53036,14959.9,17937.83,10883.8,12701.21,2524.02,3449.57,1552.08,1787.05,3,20,1
53037,14959.9,17937.83,10883.8,12701.21,2524.02,3449.57,1552.08,1787.05,3,20,1
53038,14959.9,17937.83,10883.8,12701.21,2524.02,3449.57,1552.08,1787.05,3,20,1
53039,14959.9,17937.83,10883.8,12701.21,2524.02,3449.57,1552.08,1787.05,3,20,1
53040,14959.9,17937.83,10883.8,12701.21,2524.02,3449.57,1552.08,1787.05,3,20,1
53042,14959.9,17937.83,10883.8,12701.21,2524.02,3449.57,1552.08,1787.05,3,20,1
53044,14959.9,17937.83,10883.8,12701.21,2524.02,3449.57,1552.08,1787.05,3,20,1
53045,14959.9,17937.83,10883.8,12701.21,2524.02,3449.57,1552.08,1787.05,3,20,1
53046,14959.9,17937.83,10883.8,12701.21,2524.02,3449.57,1552.08,1787.05,3,20,1
53048,14959.9,17937.83,10883.8,12701.21,2524.02,3449.57,1552.08,1787.05,3,20,1
53049,14959.9,17937.83,10883.8,12701.21,2524.02,3449.57,1552.08,1787.05,3,20,1
53050,14959.9,17937.83,10883.8,12701.21,2524.02,3449.57,1552.08,1787.05,3,20,1
53051,14959.9,17937.83,10883.8,12701.21,2524.02,3449.57,1552.08,1787.05,3,20,1
53057,14959.9,17937.83,10883.8,12701.21,2524.02,3449.57,1552.08,1787.05,3,20,1
53058,14959.9,17937.83,10883.8,12701.21,2524.02,3449.57,1552.08,1787.05,3,20,1
53059,14959.9,17937.83,10883.8,12701.21,2524.02,3449.57,1552.08,1787.05,3,20,1
53061,14959.9,17937.83,10883.8,12701.21,2524.02,3449.57,1552.08,1787.05,3,20,1
53062,14959.9,17937.83,10883.8,12701.21,2524.02,3449.57,1552.08,1787.05,3,20,1
53063,14959.9,17937.83,10883.8,12701.21,2524.02,3449.57,1552.08,1787.05,3,20,1
53065,14959.9,17937.83,10883.8,12701.21,2524.02,3449.57,1552.08,1787.05,3,20,1
53066,14959.9,17937.83,10883.8,12701.21,2524.02,3449.57,1552.08,1787.05,3,20,1
53069,14959.9,17937.83,10883.8,12701.21,2524.02,3449.57,1552.08,1787.05,3,20,1
53070,14959.9,17937.83,10883.8,12701.21,2524.02,3449.57,1552.08,1787.05,3,20,1
53072,14959.9,17937.83,10883.8,12701.21,2524.02,3449.57,1552.08,1787.05,3,20,1
53072,14959.9,17937.83,10883.8,12701.21,2524.02,3449.57,1552.08,1787.05,3,20,1
53073,14959.9,17937.83,10883.8,12701.21,2524.02,3449.57,1552.08,1787.05,3,20,1
