"zipcode","totalcost_low","totalcost_high","systemcost_low","systemcost_high","laborcost_low","laborcost_high","jobsupplycost_low","jobsupplycost_high","size","efficiency","price_region"
53090,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53091,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53092,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53093,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53094,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53094,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53095,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53097,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53098,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53099,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53103,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53104,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53105,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53108,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53110,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53114,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53115,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53118,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53119,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53120,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53121,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53122,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53125,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53126,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53128,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53129,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53130,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53137,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53139,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
