"zipcode","totalcost_low","totalcost_high","systemcost_low","systemcost_high","laborcost_low","laborcost_high","jobsupplycost_low","jobsupplycost_high","size","efficiency"
53092,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53093,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53094,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53094,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53095,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53097,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53098,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53099,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53103,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53104,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53105,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53108,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53110,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53114,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53115,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53118,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53119,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53120,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53121,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53122,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53125,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53126,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53128,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53129,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53130,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53137,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53139,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53140,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53142,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53143,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53144,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53147,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53149,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53150,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53153,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53154,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53156,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53158,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53158,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53168,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53170,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53172,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53177,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53178,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53179,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53181,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53182,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53183,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53184,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53185,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53186,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53188,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53189,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53190,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53191,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53202,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53203,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53204,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53205,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53206,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53207,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53208,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53209,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53210,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
