"zipcode","totalcost_low","totalcost_high","systemcost_low","systemcost_high","laborcost_low","laborcost_high","jobsupplycost_low","jobsupplycost_high","size","efficiency","price_region"
53086,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53089,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53090,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53091,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53092,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53093,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53094,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53094,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53095,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53097,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53098,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53099,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53103,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53104,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53105,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53108,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53110,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53114,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53115,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53118,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53119,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53120,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53121,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53122,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53125,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53126,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53128,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53129,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53130,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53137,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53139,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53140,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53142,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53143,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53144,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53147,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53149,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53150,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53153,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53154,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53156,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53158,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53158,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53168,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53170,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53172,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53177,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53178,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53179,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53181,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53182,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53183,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53184,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53185,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53186,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53188,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53189,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53190,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53191,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53202,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53203,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53204,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53205,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
